,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-09-13 00:00:00,0.9163,0.9163,0.9163,0.9163,145473,2012
1,2012-09-14 00:00:00,0.9163,0.9163,0.8868,0.8868,233519,2012
2,2012-09-17 00:00:00,0.8572,1.1824,0.7981,0.9755,549447,2012
3,2012-09-18 00:00:00,0.9163,0.9459,0.7981,0.8276,289302,2012
4,2012-09-19 00:00:00,0.8276,1.0641,0.8276,0.8868,216243,2012
5,2012-09-20 00:00:00,0.8868,0.8868,0.7981,0.7981,334562,2012
6,2012-09-21 00:00:00,0.8276,0.8572,0.7685,0.7981,308211,2012
7,2012-09-24 00:00:00,0.8276,0.8276,0.7685,0.7685,175875,2012
8,2012-09-25 00:00:00,0.7981,0.9163,0.7981,0.9163,292545,2012
9,2012-09-26 00:00:00,0.9163,1.0937,0.8276,0.8572,431908,2012
10,2012-09-27 00:00:00,0.8572,0.8572,0.8276,0.8572,121341,2012
11,2012-09-28 00:00:00,0.8572,0.8868,0.8276,0.8868,7712,2012
12,2012-10-01 00:00:00,0.8868,1.1824,0.8868,0.8868,761754,2012
13,2012-10-02 00:00:00,0.8868,0.9163,0.7685,0.8276,490861,2012
14,2012-10-03 00:00:00,0.8276,0.8868,0.7981,0.8276,318906,2012
15,2012-10-04 00:00:00,0.8276,0.9163,0.7981,0.8868,356930,2012
16,2012-10-05 00:00:00,0.8572,0.8868,0.7981,0.7981,253595,2012
17,2012-10-08 00:00:00,0.8276,0.8276,0.7981,0.8276,179585,2012
18,2012-10-09 00:00:00,0.7981,0.8572,0.7981,0.7981,151760,2012
19,2012-10-10 00:00:00,0.7981,0.8276,0.7981,0.8276,186325,2012
20,2012-10-11 00:00:00,0.7981,0.8276,0.7685,0.7685,176538,2012
21,2012-10-12 00:00:00,0.7685,0.7981,0.7390000000000001,0.7685,10671,2012
22,2012-10-15 00:00:00,0.7685,0.7685,0.6207,0.7094,246943,2012
23,2012-10-16 00:00:00,0.7094,0.7390000000000001,0.6503,0.6503,80327,2012
24,2012-10-17 00:00:00,0.6503,0.7390000000000001,0.5912,0.5912,198790,2012
25,2012-10-18 00:00:00,0.6207,0.6503,0.5912,0.5912,19643,2012
26,2012-10-19 00:00:00,0.5912,0.6503,0.5912,0.6503,8739,2012
27,2012-10-22 00:00:00,0.6207,0.6207,0.5616,0.5912,30576,2012
28,2012-10-23 00:00:00,0.5912,0.5912,0.5616,0.5912,5071,2012
29,2012-10-24 00:00:00,0.6207,0.6207,0.5616,0.5912,8977,2012
30,2012-10-25 00:00:00,0.5912,0.6207,0.5616,0.5912,7477,2012
31,2012-10-26 00:00:00,0.6207,0.6207,0.5616,0.5912,1335,2012
32,2012-10-29 00:00:00,0.5912,0.5912,0.5616,0.5912,7104,2012
33,2012-10-30 00:00:00,0.5912,0.5912,0.5912,0.5912,3246,2012
34,2012-10-31 00:00:00,0.5912,0.5912,0.5616,0.5912,5413,2012
35,2012-11-02 00:00:00,0.5912,0.5912,0.5912,0.5912,677,2012
36,2012-11-06 00:00:00,0.5616,0.5912,0.5616,0.5912,25687,2012
37,2012-11-07 00:00:00,0.5616,0.6207,0.5616,0.6207,39818,2012
38,2012-11-08 00:00:00,0.5912,0.5912,0.47295,0.5616,130584,2012
39,2012-11-09 00:00:00,0.5321,0.5616,0.47295,0.5616,6173,2012
40,2012-11-12 00:00:00,0.5321,0.5321,0.47295,0.47295,4046,2012
41,2012-11-13 00:00:00,0.47295,0.5025,0.47295,0.47295,7717,2012
42,2012-11-14 00:00:00,0.47295,0.5025,0.44337,0.5025,6462,2012
43,2012-11-15 00:00:00,0.5025,0.5912,0.5025,0.5912,1225,2012
44,2012-11-16 00:00:00,0.5616,0.5616,0.5025,0.5616,778,2012
45,2012-11-19 00:00:00,0.5321,0.5321,0.47295,0.47295,12870,2012
46,2012-11-20 00:00:00,0.47295,0.47295,0.47295,0.47295,3654,2012
47,2012-11-21 00:00:00,0.47295,0.5616,0.47295,0.5616,4891,2012
48,2012-11-22 00:00:00,0.5616,0.5616,0.5321,0.5321,237,2012
49,2012-11-23 00:00:00,0.5321,0.5321,0.5025,0.5321,304,2012
50,2012-11-26 00:00:00,0.5321,0.5321,0.47295,0.47295,3384,2012
51,2012-11-27 00:00:00,0.44337,0.5025,0.38427,0.5025,2880,2012
52,2012-11-28 00:00:00,0.5025,0.5025,0.5025,0.5025,20636,2012
53,2012-11-29 00:00:00,0.5025,0.5025,0.5025,0.5025,338,2012
54,2012-11-30 00:00:00,0.5025,0.5616,0.5025,0.5616,3248,2012
55,2012-12-03 00:00:00,0.5321,0.5616,0.5321,0.5616,203,2012
56,2012-12-04 00:00:00,0.5616,0.5912,0.5616,0.5912,338,2012
57,2012-12-05 00:00:00,0.5616,0.5912,0.5616,0.5912,627,2012
58,2012-12-06 00:00:00,0.5616,0.5616,0.5616,0.5616,68,2012
59,2012-12-07 00:00:00,0.5616,0.5616,0.5321,0.5616,806,2012
60,2012-12-10 00:00:00,0.5616,0.5912,0.5321,0.5616,2478,2012
61,2012-12-11 00:00:00,0.5616,0.5616,0.5616,0.5616,17,2012
62,2012-12-12 00:00:00,0.5025,0.5025,0.47295,0.47295,3383,2012
63,2012-12-13 00:00:00,0.5025,0.5321,0.5025,0.5025,1336,2012
64,2012-12-14 00:00:00,0.5025,0.5025,0.5025,0.5025,358,2012
65,2012-12-17 00:00:00,0.5025,0.5025,0.5025,0.5025,101,2012
66,2012-12-18 00:00:00,0.5025,0.5616,0.5025,0.5616,1546,2012
67,2012-12-19 00:00:00,0.5616,0.5616,0.5616,0.5616,51,2012
68,2012-12-20 00:00:00,0.5616,0.5616,0.5321,0.5321,118,2012
69,2012-12-21 00:00:00,0.5321,0.5321,0.5321,0.5321,169,2012
70,2012-12-27 00:00:00,0.5321,0.5616,0.5321,0.5616,304,2012
71,2012-12-28 00:00:00,0.5616,0.5912,0.5616,0.5912,3485,2012
72,2013-01-02 00:00:00,0.5912,0.5912,0.5912,0.5912,338,2013
73,2013-01-03 00:00:00,0.5616,0.5616,0.47295,0.5616,1556,2013
74,2013-01-04 00:00:00,0.5321,0.5321,0.5321,0.5321,338,2013
75,2013-01-09 00:00:00,0.5025,0.5025,0.44337,0.5025,1692,2013
76,2013-01-10 00:00:00,0.44337,0.5025,0.44337,0.5025,304,2013
77,2013-01-11 00:00:00,0.47295,0.5025,0.47295,0.5025,169,2013
78,2013-01-15 00:00:00,0.5025,0.5321,0.5025,0.5025,456,2013
79,2013-01-16 00:00:00,0.5321,0.5321,0.5321,0.5321,846,2013
80,2013-01-17 00:00:00,0.5616,0.5616,0.5616,0.5616,107,2013
81,2013-01-18 00:00:00,0.5616,0.5616,0.5025,0.5025,271,2013
82,2013-01-21 00:00:00,0.5025,0.5025,0.5025,0.5025,169,2013
83,2013-01-22 00:00:00,0.5025,0.5025,0.5025,0.5025,101,2013
84,2013-01-23 00:00:00,0.47295,0.47295,0.47295,0.47295,321,2013
85,2013-01-24 00:00:00,0.5025,0.5025,0.5025,0.5025,34,2013
86,2013-01-28 00:00:00,0.47295,0.47295,0.44337,0.44337,338,2013
87,2013-01-30 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
88,2013-02-01 00:00:00,0.47295,0.5025,0.47295,0.5025,440,2013
89,2013-02-05 00:00:00,0.5025,0.5025,0.5025,0.5025,7443,2013
90,2013-02-06 00:00:00,0.5025,0.5025,0.5025,0.5025,101,2013
91,2013-02-08 00:00:00,0.5025,0.6799,0.5025,0.6207,15001,2013
92,2013-02-11 00:00:00,0.6503,0.6503,0.6207,0.6207,626,2013
93,2013-02-12 00:00:00,0.5912,0.5912,0.5321,0.5912,7366,2013
94,2013-02-13 00:00:00,0.5616,0.5912,0.5616,0.5912,406,2013
95,2013-02-14 00:00:00,0.5616,0.6207,0.5616,0.6207,1177,2013
96,2013-02-15 00:00:00,0.6207,0.6503,0.5912,0.6503,909,2013
97,2013-02-18 00:00:00,0.6503,0.6503,0.5912,0.5912,439,2013
98,2013-02-19 00:00:00,0.5912,0.5912,0.5616,0.5912,1049,2013
99,2013-02-20 00:00:00,0.5912,0.5912,0.5912,0.5912,609,2013
100,2013-02-21 00:00:00,0.5912,0.5912,0.5912,0.5912,68,2013
101,2013-02-22 00:00:00,0.5912,0.5912,0.5912,0.5912,670,2013
102,2013-02-25 00:00:00,0.5912,0.5912,0.5616,0.5616,710,2013
103,2013-02-26 00:00:00,0.5321,0.5321,0.44337,0.44337,20860,2013
104,2013-02-27 00:00:00,0.44337,0.5025,0.44337,0.5025,1424,2013
105,2013-03-01 00:00:00,0.5025,0.5321,0.5025,0.5321,842,2013
106,2013-03-04 00:00:00,0.5321,0.5321,0.5321,0.5321,671,2013
107,2013-03-05 00:00:00,0.5321,0.5321,0.5321,0.5321,17,2013
108,2013-03-06 00:00:00,0.5025,0.5025,0.5025,0.5025,64,2013
109,2013-03-07 00:00:00,0.5025,0.5025,0.5025,0.5025,338,2013
110,2013-03-08 00:00:00,0.47295,0.47295,0.41381999999999997,0.47295,8931,2013
111,2013-03-11 00:00:00,0.47295,0.47295,0.47295,0.47295,338,2013
112,2013-03-12 00:00:00,0.47295,0.47295,0.47295,0.47295,338,2013
113,2013-03-13 00:00:00,0.44337,0.5025,0.44337,0.5025,372,2013
114,2013-03-14 00:00:00,0.47295,0.47295,0.47295,0.47295,1161,2013
115,2013-03-15 00:00:00,0.47295,0.47295,0.47295,0.47295,3237,2013
116,2013-03-18 00:00:00,0.47295,0.5321,0.44337,0.5321,11185,2013
117,2013-03-19 00:00:00,0.5025,0.5025,0.47295,0.47295,430,2013
118,2013-03-20 00:00:00,0.47295,0.5321,0.47295,0.5025,5152,2013
119,2013-03-21 00:00:00,0.5025,0.5321,0.47295,0.47295,11624,2013
120,2013-03-25 00:00:00,0.47295,0.5025,0.41381999999999997,0.5025,1604,2013
121,2013-03-26 00:00:00,0.5025,0.5025,0.47295,0.5025,12699,2013
122,2013-03-27 00:00:00,0.5025,0.5912,0.47295,0.5025,82324,2013
123,2013-03-28 00:00:00,0.5025,0.5025,0.47295,0.5025,51167,2013
124,2013-04-02 00:00:00,0.5321,0.5321,0.47295,0.47295,4794,2013
125,2013-04-04 00:00:00,0.44337,0.44337,0.44337,0.44337,1522,2013
126,2013-04-05 00:00:00,0.47295,0.47295,0.47295,0.47295,17,2013
127,2013-04-08 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
128,2013-04-09 00:00:00,0.47295,0.47295,0.47295,0.47295,152,2013
129,2013-04-10 00:00:00,0.47295,0.47295,0.47295,0.47295,643,2013
130,2013-04-11 00:00:00,0.47295,0.5321,0.47295,0.47295,61038,2013
131,2013-04-12 00:00:00,0.5321,0.5321,0.44337,0.5025,1020,2013
132,2013-04-15 00:00:00,0.47295,0.5321,0.47295,0.5321,1725,2013
133,2013-04-17 00:00:00,0.5025,0.5025,0.47295,0.47295,2826,2013
134,2013-04-18 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
135,2013-04-19 00:00:00,0.47295,0.5025,0.47295,0.5025,443,2013
136,2013-04-22 00:00:00,0.5025,0.5025,0.5025,0.5025,34,2013
137,2013-04-23 00:00:00,0.5025,0.5025,0.5025,0.5025,34,2013
138,2013-04-24 00:00:00,0.5025,0.5025,0.47295,0.47295,68,2013
139,2013-04-29 00:00:00,0.47295,0.47295,0.47295,0.47295,78,2013
140,2013-04-30 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
141,2013-05-02 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
142,2013-05-06 00:00:00,0.47295,0.47295,0.38427,0.38427,1317,2013
143,2013-05-07 00:00:00,0.35472,0.41381999999999997,0.35472,0.38427,1942,2013
144,2013-05-08 00:00:00,0.38427,0.41381999999999997,0.38427,0.41381999999999997,354,2013
145,2013-05-10 00:00:00,0.38427,0.38427,0.32514,0.32514,1862,2013
146,2013-05-13 00:00:00,0.35472,0.38427,0.35472,0.38427,706,2013
147,2013-05-15 00:00:00,0.32514,0.32514,0.32514,0.32514,44,2013
148,2013-05-16 00:00:00,0.32514,0.32514,0.32514,0.32514,13360,2013
149,2013-05-17 00:00:00,0.32514,0.32514,0.32514,0.32514,338,2013
150,2013-05-20 00:00:00,0.35472,0.35472,0.35472,0.35472,7,2013
151,2013-05-21 00:00:00,0.32514,0.35472,0.32514,0.35472,957,2013
152,2013-05-23 00:00:00,0.32514,0.32514,0.32514,0.32514,338,2013
153,2013-05-24 00:00:00,0.29559,0.32514,0.29559,0.32514,386,2013
154,2013-05-27 00:00:00,0.29559,0.35472,0.29559,0.35472,702,2013
155,2013-05-28 00:00:00,0.32514,0.35472,0.29559,0.32514,9328,2013
156,2013-05-31 00:00:00,0.32514,0.35472,0.32514,0.35472,784,2013
157,2013-06-03 00:00:00,0.35472,0.41381999999999997,0.29559,0.41381999999999997,13406,2013
158,2013-06-04 00:00:00,0.35472,0.35472,0.29559,0.29559,6896,2013
159,2013-06-05 00:00:00,0.29559,0.29559,0.23646,0.26604,13991,2013
160,2013-06-06 00:00:00,0.26604,0.26604,0.26604,0.26604,2691,2013
161,2013-06-07 00:00:00,0.26604,0.26604,0.26604,0.26604,169,2013
162,2013-06-10 00:00:00,0.26604,0.26604,0.23646,0.26604,15138,2013
163,2013-06-13 00:00:00,0.26604,0.26604,0.26604,0.26604,846,2013
164,2013-06-14 00:00:00,0.26604,0.35472,0.26604,0.35472,5548,2013
165,2013-06-18 00:00:00,0.32514,0.32514,0.32514,0.32514,338,2013
166,2013-06-19 00:00:00,0.29559,0.29559,0.29559,0.29559,3180,2013
167,2013-06-20 00:00:00,0.32514,0.38427,0.32514,0.38427,21089,2013
168,2013-06-21 00:00:00,0.41381999999999997,0.47295,0.35472,0.35472,10921,2013
169,2013-06-24 00:00:00,0.35472,0.38427,0.32514,0.38427,7200,2013
170,2013-06-25 00:00:00,0.38427,0.47295,0.38427,0.44337,1736,2013
171,2013-06-26 00:00:00,0.47295,0.47295,0.44337,0.44337,345,2013
172,2013-06-27 00:00:00,0.47295,0.47295,0.38427,0.41381999999999997,2236,2013
173,2013-06-28 00:00:00,0.41381999999999997,0.41381999999999997,0.38427,0.38427,1184,2013
174,2013-07-01 00:00:00,0.38427,0.38427,0.35472,0.35472,1353,2013
175,2013-07-03 00:00:00,0.38427,0.38427,0.38427,0.38427,24,2013
176,2013-07-04 00:00:00,0.35472,0.35472,0.32514,0.32514,339,2013
177,2013-07-05 00:00:00,0.35472,0.35472,0.35472,0.35472,169,2013
178,2013-07-08 00:00:00,0.35472,0.38427,0.35472,0.38427,3585,2013
179,2013-07-09 00:00:00,0.35472,0.35472,0.29559,0.35472,9274,2013
180,2013-07-10 00:00:00,0.29559,0.32514,0.26604,0.32514,21752,2013
181,2013-07-12 00:00:00,0.32514,0.32514,0.32514,0.32514,415,2013
182,2013-07-17 00:00:00,0.32514,0.35472,0.32514,0.35472,262,2013
183,2013-07-22 00:00:00,0.35472,0.35472,0.35472,0.35472,34,2013
184,2013-07-23 00:00:00,0.35472,0.35472,0.35472,0.35472,34,2013
185,2013-07-24 00:00:00,0.35472,0.35472,0.32514,0.32514,1066,2013
186,2013-07-25 00:00:00,0.35472,0.35472,0.35472,0.35472,51,2013
187,2013-07-26 00:00:00,0.35472,0.35472,0.35472,0.35472,51,2013
188,2013-07-29 00:00:00,0.35472,0.35472,0.35472,0.35472,51,2013
189,2013-07-30 00:00:00,0.35472,0.35472,0.35472,0.35472,1121,2013
190,2013-07-31 00:00:00,0.32514,0.35472,0.26604,0.35472,2802,2013
191,2013-08-01 00:00:00,0.35472,0.35472,0.35472,0.35472,85,2013
192,2013-08-02 00:00:00,0.35472,0.35472,0.35472,0.35472,51,2013
193,2013-08-05 00:00:00,0.35472,0.35472,0.35472,0.35472,68,2013
194,2013-08-06 00:00:00,0.35472,0.35472,0.35472,0.35472,68,2013
195,2013-08-07 00:00:00,0.35472,0.35472,0.35472,0.35472,78,2013
196,2013-08-08 00:00:00,0.35472,0.35472,0.35472,0.35472,68,2013
197,2013-08-09 00:00:00,0.35472,0.35472,0.35472,0.35472,203,2013
198,2013-08-12 00:00:00,0.35472,0.35472,0.35472,0.35472,34,2013
199,2013-08-13 00:00:00,0.35472,0.38427,0.35472,0.38427,339,2013
200,2013-08-14 00:00:00,0.35472,0.35472,0.35472,0.35472,300,2013
201,2013-08-16 00:00:00,0.38427,0.44337,0.32514,0.41381999999999997,5311,2013
202,2013-08-19 00:00:00,0.35472,0.38427,0.35472,0.38427,1187,2013
203,2013-08-21 00:00:00,0.38427,0.38427,0.38427,0.38427,34,2013
204,2013-08-22 00:00:00,0.35472,0.35472,0.32514,0.35472,1020,2013
205,2013-08-27 00:00:00,0.35472,0.41381999999999997,0.35472,0.41381999999999997,1015,2013
206,2013-08-28 00:00:00,0.35472,0.35472,0.35472,0.35472,507,2013
207,2013-08-30 00:00:00,0.35472,0.41381999999999997,0.32514,0.41381999999999997,2601,2013
208,2013-09-03 00:00:00,0.38427,0.38427,0.38427,0.38427,169,2013
209,2013-09-04 00:00:00,0.38427,0.38427,0.38427,0.38427,169,2013
210,2013-09-05 00:00:00,0.38427,0.41381999999999997,0.35472,0.35472,421,2013
211,2013-09-06 00:00:00,0.32514,0.38427,0.29559,0.38427,4220,2013
212,2013-09-10 00:00:00,0.35472,0.35472,0.35472,0.35472,2706,2013
213,2013-09-12 00:00:00,0.38427,0.38427,0.35472,0.35472,239,2013
214,2013-09-17 00:00:00,0.35472,0.35472,0.29559,0.29559,48361,2013
215,2013-09-18 00:00:00,0.29559,0.41381999999999997,0.29559,0.38427,126445,2013
216,2013-09-19 00:00:00,0.41381999999999997,0.5025,0.38427,0.44337,66966,2013
217,2013-09-20 00:00:00,0.47295,0.47295,0.38427,0.41381999999999997,55801,2013
218,2013-09-23 00:00:00,0.41381999999999997,0.41381999999999997,0.38427,0.41381999999999997,19958,2013
219,2013-09-24 00:00:00,0.41381999999999997,0.41381999999999997,0.35472,0.41381999999999997,5891,2013
220,2013-09-25 00:00:00,0.38427,0.41381999999999997,0.35472,0.38427,31504,2013
221,2013-09-26 00:00:00,0.38427,0.41381999999999997,0.35472,0.41381999999999997,34479,2013
222,2013-09-27 00:00:00,0.41381999999999997,0.44337,0.41381999999999997,0.44337,15543,2013
223,2013-09-30 00:00:00,0.47295,0.47295,0.38427,0.38427,14967,2013
224,2013-10-01 00:00:00,0.38427,0.41381999999999997,0.38427,0.41381999999999997,25729,2013
225,2013-10-02 00:00:00,0.41381999999999997,0.44337,0.35472,0.38427,33203,2013
226,2013-10-03 00:00:00,0.38427,0.38427,0.38427,0.38427,2368,2013
227,2013-10-04 00:00:00,0.35472,0.38427,0.35472,0.38427,12690,2013
228,2013-10-09 00:00:00,0.38427,0.38427,0.38427,0.38427,68,2013
229,2013-10-10 00:00:00,0.38427,0.38427,0.35472,0.35472,3417,2013
230,2013-10-11 00:00:00,0.35472,0.38427,0.35472,0.38427,406,2013
231,2013-10-14 00:00:00,0.38427,0.38427,0.38427,0.38427,2605,2013
232,2013-10-15 00:00:00,0.38427,0.38427,0.38427,0.38427,3973,2013
233,2013-10-16 00:00:00,0.38427,0.38427,0.35472,0.35472,1859,2013
234,2013-10-17 00:00:00,0.38427,0.41381999999999997,0.38427,0.38427,9395,2013
235,2013-10-21 00:00:00,0.38427,0.38427,0.38427,0.38427,15562,2013
236,2013-10-22 00:00:00,0.38427,0.38427,0.38427,0.38427,950,2013
237,2013-10-23 00:00:00,0.38427,0.38427,0.38427,0.38427,10,2013
238,2013-10-24 00:00:00,0.38427,0.38427,0.38427,0.38427,290,2013
239,2013-10-28 00:00:00,0.38427,0.38427,0.35472,0.35472,24058,2013
240,2013-10-29 00:00:00,0.35472,0.38427,0.35472,0.38427,17084,2013
241,2013-10-31 00:00:00,0.38427,0.38427,0.38427,0.38427,5075,2013
242,2013-11-04 00:00:00,0.38427,0.38427,0.38427,0.38427,1692,2013
243,2013-11-05 00:00:00,0.38427,0.38427,0.38427,0.38427,11423,2013
244,2013-11-06 00:00:00,0.41381999999999997,0.41381999999999997,0.41381999999999997,0.41381999999999997,16393,2013
245,2013-11-07 00:00:00,0.44337,0.44337,0.44337,0.44337,15,2013
246,2013-11-08 00:00:00,0.41381999999999997,0.41381999999999997,0.41381999999999997,0.41381999999999997,17423,2013
247,2013-11-13 00:00:00,0.38427,0.38427,0.38427,0.38427,9281,2013
248,2013-11-14 00:00:00,0.38427,0.38427,0.38427,0.38427,68,2013
249,2013-11-15 00:00:00,0.38427,0.41381999999999997,0.38427,0.41381999999999997,21911,2013
250,2013-11-18 00:00:00,0.41381999999999997,0.41381999999999997,0.41381999999999997,0.41381999999999997,169,2013
251,2013-11-19 00:00:00,0.41381999999999997,0.41381999999999997,0.35472,0.35472,25745,2013
252,2013-11-20 00:00:00,0.38427,0.41381999999999997,0.38427,0.38427,35184,2013
253,2013-11-21 00:00:00,0.38427,0.38427,0.35472,0.35472,1294,2013
254,2013-11-22 00:00:00,0.35472,0.35472,0.35472,0.35472,10504,2013
255,2013-11-25 00:00:00,0.35472,0.35472,0.35472,0.35472,33865,2013
256,2013-11-26 00:00:00,0.35472,0.35472,0.32514,0.35472,47363,2013
257,2013-11-27 00:00:00,0.35472,0.35472,0.35472,0.35472,17022,2013
258,2013-11-28 00:00:00,0.35472,0.35472,0.35472,0.35472,710,2013
259,2013-11-29 00:00:00,0.38427,0.38427,0.35472,0.35472,16878,2013
260,2013-12-02 00:00:00,0.35472,0.35472,0.35472,0.35472,10217,2013
261,2013-12-03 00:00:00,0.35472,0.35472,0.35472,0.35472,11247,2013
262,2013-12-04 00:00:00,0.35472,0.38427,0.35472,0.35472,16875,2013
263,2013-12-05 00:00:00,0.35472,0.35472,0.35472,0.35472,338,2013
264,2013-12-06 00:00:00,0.35472,0.35472,0.35472,0.35472,6766,2013
265,2013-12-09 00:00:00,0.35472,0.35472,0.32514,0.35472,14952,2013
266,2013-12-10 00:00:00,0.35472,0.38427,0.35472,0.38427,37485,2013
267,2013-12-11 00:00:00,0.38427,0.41381999999999997,0.38427,0.38427,10454,2013
268,2013-12-12 00:00:00,0.38427,0.38427,0.38427,0.38427,677,2013
269,2013-12-13 00:00:00,0.38427,0.38427,0.35472,0.35472,1015,2013
270,2013-12-16 00:00:00,0.38427,0.38427,0.35472,0.35472,1387,2013
271,2013-12-17 00:00:00,0.38427,0.38427,0.38427,0.38427,68,2013
272,2013-12-18 00:00:00,0.38427,0.38427,0.35472,0.38427,2250,2013
273,2013-12-19 00:00:00,0.35472,0.35472,0.32514,0.32514,1692,2013
274,2013-12-20 00:00:00,0.32514,0.35472,0.32514,0.32514,3451,2013
275,2013-12-23 00:00:00,0.32514,0.32514,0.32514,0.32514,51,2013
276,2013-12-27 00:00:00,0.32514,0.32514,0.32514,0.32514,2457,2013
277,2013-12-30 00:00:00,0.32514,0.32514,0.32514,0.32514,505,2013
278,2014-01-02 00:00:00,0.35472,0.35472,0.35472,0.35472,677,2014
279,2014-01-03 00:00:00,0.35472,0.35472,0.35472,0.35472,169,2014
280,2014-01-07 00:00:00,0.35472,0.35472,0.32514,0.32514,710,2014
281,2014-01-08 00:00:00,0.29559,0.29559,0.29559,0.29559,812,2014
282,2014-01-09 00:00:00,0.32514,0.32514,0.32514,0.32514,3,2014
283,2014-01-14 00:00:00,0.32514,0.38427,0.32514,0.38427,1012,2014
284,2014-01-15 00:00:00,0.35472,0.38427,0.35472,0.38427,1627,2014
285,2014-01-16 00:00:00,0.35472,0.35472,0.35472,0.35472,338,2014
286,2014-01-20 00:00:00,0.35472,0.35472,0.35472,0.35472,338,2014
287,2014-01-21 00:00:00,0.38427,0.38427,0.38427,0.38427,3,2014
288,2014-01-22 00:00:00,0.38427,0.38427,0.38427,0.38427,338,2014
289,2014-01-23 00:00:00,0.38427,0.38427,0.38427,0.38427,169,2014
290,2014-01-24 00:00:00,0.38427,0.38427,0.38427,0.38427,85,2014
291,2014-01-27 00:00:00,0.38427,0.38427,0.35472,0.35472,883,2014
292,2014-01-28 00:00:00,0.35472,0.35472,0.32514,0.35472,1144,2014
293,2014-01-29 00:00:00,0.32514,0.32514,0.32514,0.32514,1904,2014
294,2014-01-30 00:00:00,0.32514,0.32514,0.32514,0.32514,338,2014
295,2014-01-31 00:00:00,0.35472,0.35472,0.35472,0.35472,3,2014
296,2014-02-05 00:00:00,0.35472,0.38427,0.35472,0.38427,1022,2014
297,2014-02-06 00:00:00,0.38427,0.38427,0.35472,0.35472,1742,2014
298,2014-02-07 00:00:00,0.38427,0.38427,0.35472,0.38427,88,2014
299,2014-02-10 00:00:00,0.38427,0.38427,0.38427,0.38427,85,2014
300,2014-02-11 00:00:00,0.38427,0.38427,0.38427,0.38427,51,2014
301,2014-02-12 00:00:00,0.35472,0.35472,0.35472,0.35472,85,2014
302,2014-02-13 00:00:00,0.35472,0.41381999999999997,0.32514,0.38427,112779,2014
303,2014-02-14 00:00:00,0.32514,0.38427,0.32514,0.35472,13857,2014
304,2014-02-17 00:00:00,0.38427,0.38427,0.35472,0.35472,558,2014
305,2014-02-18 00:00:00,0.35472,0.35472,0.32514,0.32514,4853,2014
306,2014-02-19 00:00:00,0.32514,0.32514,0.32514,0.32514,19926,2014
307,2014-02-20 00:00:00,0.35472,0.35472,0.35472,0.35472,677,2014
308,2014-02-21 00:00:00,0.35472,0.35472,0.35472,0.35472,9408,2014
309,2014-02-24 00:00:00,0.35472,0.35472,0.32514,0.32514,15620,2014
310,2014-02-25 00:00:00,0.32514,0.32514,0.32514,0.32514,169,2014
311,2014-02-26 00:00:00,0.32514,0.32514,0.32514,0.32514,6916,2014
312,2014-02-27 00:00:00,0.35472,0.35472,0.32514,0.32514,881,2014
313,2014-02-28 00:00:00,0.32514,0.32514,0.32514,0.32514,85,2014
314,2014-03-04 00:00:00,0.35472,0.35472,0.35472,0.35472,8373,2014
315,2014-03-05 00:00:00,0.35472,0.35472,0.35472,0.35472,169,2014
316,2014-03-06 00:00:00,0.35472,0.35472,0.35472,0.35472,84,2014
317,2014-03-07 00:00:00,0.35472,0.35472,0.35472,0.35472,169,2014
318,2014-03-10 00:00:00,0.35472,0.35472,0.35472,0.35472,2774,2014
319,2014-03-13 00:00:00,0.35472,0.35472,0.35472,0.35472,271,2014
320,2014-03-14 00:00:00,0.35472,0.35472,0.32514,0.32514,12784,2014
321,2014-03-17 00:00:00,0.32514,0.38427,0.32514,0.38427,74,2014
322,2014-03-18 00:00:00,0.38427,0.38427,0.35472,0.35472,185,2014
323,2014-03-19 00:00:00,0.38427,0.38427,0.38427,0.38427,68,2014
324,2014-03-20 00:00:00,0.38427,0.38427,0.38427,0.38427,3451,2014
325,2014-03-21 00:00:00,0.38427,0.38427,0.38427,0.38427,68,2014
326,2014-03-24 00:00:00,0.38427,0.38427,0.38427,0.38427,34,2014
327,2014-03-25 00:00:00,0.38427,0.38427,0.38427,0.38427,68,2014
328,2014-03-26 00:00:00,0.38427,0.38427,0.38427,0.38427,541,2014
329,2014-03-27 00:00:00,0.38427,0.38427,0.38427,0.38427,68,2014
330,2014-03-28 00:00:00,0.38427,0.38427,0.38427,0.38427,34,2014
331,2014-03-31 00:00:00,0.38427,0.38427,0.38427,0.38427,34,2014
332,2014-04-01 00:00:00,0.38427,0.38427,0.38427,0.38427,101,2014
333,2014-04-02 00:00:00,0.38427,0.38427,0.38427,0.38427,34,2014
334,2014-04-03 00:00:00,0.35472,0.35472,0.35472,0.35472,560,2014
335,2014-04-04 00:00:00,0.35472,0.35472,0.35472,0.35472,34,2014
336,2014-04-07 00:00:00,0.35472,0.35472,0.32514,0.32514,1486,2014
337,2014-04-08 00:00:00,0.32514,0.32514,0.32514,0.32514,2778,2014
