,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-04-07 00:00:00,4.4,4.4,4.4,4.4,48675,2011
1,2011-04-08 00:00:00,4.3,4.4,3.6,3.9,89235,2011
2,2011-04-11 00:00:00,3.7,3.9,3.4,3.9,34813,2011
3,2011-04-12 00:00:00,3.9,4.2,3.7,4.0,14142,2011
4,2011-04-13 00:00:00,4.0,4.0,3.2,3.4,133594,2011
5,2011-04-14 00:00:00,3.3,3.3,2.9,2.9,89772,2011
6,2011-04-15 00:00:00,2.9,3.1,2.7,3.0,30809,2011
7,2011-04-18 00:00:00,2.9,3.3,2.7,3.1,69790,2011
8,2011-04-19 00:00:00,3.1,3.5,3.1,3.4,23686,2011
9,2011-04-20 00:00:00,3.4,3.9,3.3,3.9,71919,2011
10,2011-04-21 00:00:00,3.9,4.6,3.9,4.6,131348,2011
11,2011-04-26 00:00:00,4.6,5.0,4.5,4.9,71912,2011
12,2011-04-27 00:00:00,4.9,5.2,4.7,4.8,25250,2011
13,2011-04-28 00:00:00,4.9,5.3,4.8,5.1,29364,2011
14,2011-04-29 00:00:00,5.3,5.3,5.0,5.3,14049,2011
15,2011-05-02 00:00:00,5.3,5.8,5.1,5.4,16593,2011
16,2011-05-04 00:00:00,5.5,6.0,5.5,6.0,18537,2011
17,2011-05-05 00:00:00,6.1,7.0,6.1,6.6,21262,2011
18,2011-05-06 00:00:00,6.3,7.2,6.0,6.9,18757,2011
19,2011-05-09 00:00:00,6.9,6.9,6.1,6.1,18992,2011
20,2011-05-10 00:00:00,6.1,7.9,6.1,7.4,44646,2011
21,2011-05-11 00:00:00,7.3,7.3,5.9,6.1,123021,2011
22,2011-05-12 00:00:00,6.0,6.0,5.0,5.6,21594,2011
23,2011-05-13 00:00:00,5.5,5.5,4.9,5.1,24498,2011
24,2011-05-16 00:00:00,5.0,5.4,4.6,5.2,51085,2011
25,2011-05-17 00:00:00,5.1,5.1,4.7,4.9,19075,2011
26,2011-05-18 00:00:00,4.7,4.7,4.5,4.6,10250,2011
27,2011-05-19 00:00:00,4.6,4.9,4.4,4.8,15945,2011
28,2011-05-20 00:00:00,4.8,4.8,4.4,4.4,17486,2011
29,2011-05-23 00:00:00,4.6,4.7,4.0,4.2,45671,2011
30,2011-05-24 00:00:00,4.1,4.2,4.0,4.2,23704,2011
31,2011-05-25 00:00:00,4.1,4.4,4.1,4.4,9337,2011
32,2011-05-26 00:00:00,4.4,5.1,4.4,4.7,12936,2011
33,2011-05-27 00:00:00,4.8,4.9,4.5,4.7,6151,2011
34,2011-05-30 00:00:00,4.6,4.8,4.4,4.6,5260,2011
35,2011-05-31 00:00:00,4.6,4.8,4.5,4.8,6314,2011
36,2011-06-01 00:00:00,4.8,4.8,4.4,4.6,5128,2011
37,2011-06-02 00:00:00,4.5,4.6,4.4,4.6,5686,2011
38,2011-06-03 00:00:00,4.6,4.6,4.4,4.6,3327,2011
39,2011-06-06 00:00:00,4.6,4.9,4.5,4.7,10036,2011
40,2011-06-07 00:00:00,4.7,4.9,4.7,4.8,3124,2011
41,2011-06-08 00:00:00,4.8,5.7,4.8,5.0,69792,2011
42,2011-06-09 00:00:00,4.9,5.1,4.7,5.0,3831,2011
43,2011-06-10 00:00:00,4.8,5.0,4.5,4.8,8686,2011
44,2011-06-13 00:00:00,4.8,4.8,4.6,4.6,5312,2011
45,2011-06-14 00:00:00,4.5,4.9,4.5,4.7,3835,2011
46,2011-06-15 00:00:00,4.9,4.9,4.3,4.5,9425,2011
47,2011-06-16 00:00:00,4.4,4.4,3.6,4.4,44937,2011
48,2011-06-17 00:00:00,4.1,4.3,3.7,4.2,6204,2011
49,2011-06-20 00:00:00,4.3,4.3,3.8,4.1,6192,2011
50,2011-06-21 00:00:00,4.1,4.2,4.0,4.0,1775,2011
51,2011-06-22 00:00:00,4.0,4.2,3.8,4.2,3323,2011
52,2011-06-24 00:00:00,4.1,4.3,3.9,4.2,1008,2011
53,2011-06-27 00:00:00,4.2,4.8,4.2,4.4,6197,2011
54,2011-06-28 00:00:00,3.7,3.9,3.0,3.7,94808,2011
55,2011-06-29 00:00:00,3.9,3.9,3.6,3.8,4582,2011
56,2011-06-30 00:00:00,3.8,3.8,3.6,3.8,640,2011
57,2011-07-01 00:00:00,3.8,3.8,3.6,3.8,2341,2011
58,2011-07-04 00:00:00,3.7,3.7,3.5,3.6,8077,2011
59,2011-07-05 00:00:00,3.5,3.6,3.4,3.5,14323,2011
60,2011-07-06 00:00:00,3.5,3.6,3.4,3.6,18826,2011
61,2011-07-07 00:00:00,3.6,4.0,3.6,3.9,14556,2011
62,2011-07-08 00:00:00,3.9,4.0,3.9,3.9,5918,2011
63,2011-07-11 00:00:00,3.9,3.9,3.8,3.9,1860,2011
64,2011-07-12 00:00:00,3.9,3.9,3.8,3.9,330,2011
65,2011-07-13 00:00:00,3.9,3.9,3.7,3.7,978,2011
66,2011-07-14 00:00:00,3.7,3.8,3.7,3.8,2840,2011
67,2011-07-15 00:00:00,3.9,4.0,3.6,4.0,840,2011
68,2011-07-18 00:00:00,4.0,4.0,3.6,3.9,812,2011
69,2011-07-19 00:00:00,3.9,3.9,3.6,3.9,755,2011
70,2011-07-20 00:00:00,3.9,4.0,3.6,4.0,4018,2011
71,2011-07-21 00:00:00,4.0,4.0,3.6,3.6,5638,2011
72,2011-07-22 00:00:00,3.6,3.8,3.6,3.8,231,2011
73,2011-07-25 00:00:00,3.8,3.8,3.8,3.8,30,2011
74,2011-07-26 00:00:00,3.7,3.7,3.5,3.7,2762,2011
75,2011-07-27 00:00:00,3.7,3.7,3.5,3.7,3132,2011
76,2011-07-28 00:00:00,3.5,3.5,3.4,3.5,1357,2011
77,2011-07-29 00:00:00,3.4,3.6,3.4,3.6,4401,2011
78,2011-08-01 00:00:00,3.6,3.6,3.3,3.5,2537,2011
79,2011-08-02 00:00:00,3.6,3.6,3.6,3.6,30,2011
80,2011-08-03 00:00:00,3.6,3.6,3.3,3.3,1356,2011
81,2011-08-04 00:00:00,3.3,3.3,3.1,3.1,2856,2011
82,2011-08-05 00:00:00,3.0,3.6,2.9,3.5,1902,2011
83,2011-08-08 00:00:00,3.4,3.4,3.4,3.4,10,2011
84,2011-08-09 00:00:00,3.4,3.4,3.0,3.4,1320,2011
85,2011-08-10 00:00:00,3.4,3.4,3.1,3.4,99,2011
86,2011-08-11 00:00:00,3.4,3.5,2.9,3.5,2380,2011
87,2011-08-12 00:00:00,3.5,3.8,3.5,3.8,1065,2011
88,2011-08-16 00:00:00,3.8,3.8,3.5,3.8,715,2011
89,2011-08-17 00:00:00,3.7,3.8,3.7,3.8,80,2011
90,2011-08-18 00:00:00,3.8,3.8,3.5,3.5,937,2011
91,2011-08-19 00:00:00,3.5,3.5,3.5,3.5,50,2011
92,2011-08-22 00:00:00,3.5,3.7,3.4,3.4,888,2011
93,2011-08-23 00:00:00,3.5,3.5,3.5,3.5,50,2011
94,2011-08-24 00:00:00,3.5,3.5,2.8,3.4,4705,2011
95,2011-08-25 00:00:00,3.3,3.3,3.3,3.3,102,2011
96,2011-08-26 00:00:00,3.3,3.3,2.8,3.1,10664,2011
97,2011-08-29 00:00:00,3.1,3.1,3.0,3.0,546,2011
98,2011-08-30 00:00:00,3.0,3.0,2.9,3.0,1938,2011
99,2011-08-31 00:00:00,3.0,3.0,2.9,3.0,2401,2011
100,2011-09-01 00:00:00,2.9,3.1,2.9,3.0,280,2011
101,2011-09-02 00:00:00,3.0,3.0,2.9,3.0,280,2011
102,2011-09-05 00:00:00,3.0,3.1,3.0,3.0,928,2011
103,2011-09-06 00:00:00,3.0,3.0,3.0,3.0,680,2011
104,2011-09-07 00:00:00,3.0,3.2,3.0,3.1,5000,2011
105,2011-09-08 00:00:00,3.1,4.1,3.1,4.1,11594,2011
106,2011-09-09 00:00:00,4.1,4.1,3.7,4.0,6267,2011
107,2011-09-12 00:00:00,3.9,3.9,3.3,3.4,1605,2011
108,2011-09-13 00:00:00,3.4,3.8,3.4,3.8,237,2011
109,2011-09-14 00:00:00,3.8,3.8,3.8,3.8,10,2011
110,2011-09-15 00:00:00,3.8,3.8,3.8,3.8,140,2011
111,2011-09-16 00:00:00,3.8,3.8,3.8,3.8,30,2011
112,2011-09-19 00:00:00,3.8,3.8,3.2,3.3,620,2011
113,2011-09-20 00:00:00,3.3,3.8,3.3,3.6,4988,2011
114,2011-09-21 00:00:00,3.6,3.6,3.6,3.6,160,2011
115,2011-09-22 00:00:00,3.6,3.6,3.3,3.6,568,2011
116,2011-09-23 00:00:00,3.5,3.5,3.2,3.5,99,2011
117,2011-09-26 00:00:00,3.4,3.4,3.4,3.4,330,2011
118,2011-09-27 00:00:00,3.4,3.5,3.3,3.5,309,2011
119,2011-09-28 00:00:00,3.5,3.5,3.5,3.5,20,2011
120,2011-09-29 00:00:00,3.5,3.6,3.2,3.3,3149,2011
121,2011-09-30 00:00:00,3.2,3.5,3.2,3.5,596,2011
122,2011-10-03 00:00:00,3.5,3.5,3.3,3.5,135,2011
123,2011-10-04 00:00:00,3.5,3.5,3.5,3.5,100,2011
124,2011-10-05 00:00:00,3.5,3.5,3.5,3.5,10,2011
125,2011-10-06 00:00:00,3.5,3.5,3.5,3.5,10,2011
126,2011-10-07 00:00:00,3.5,3.5,3.4,3.4,260,2011
127,2011-10-10 00:00:00,3.4,3.4,3.3,3.3,165,2011
128,2011-10-11 00:00:00,3.3,3.3,3.2,3.3,43,2011
129,2011-10-12 00:00:00,3.3,3.3,3.2,3.2,670,2011
130,2011-10-13 00:00:00,3.3,3.3,3.1,3.3,291,2011
131,2011-10-14 00:00:00,3.3,3.3,3.1,3.1,510,2011
132,2011-10-17 00:00:00,3.1,3.3,3.0,3.3,196,2011
133,2011-10-18 00:00:00,3.3,3.3,3.0,3.3,742,2011
134,2011-10-19 00:00:00,3.3,3.3,3.3,3.3,10,2011
135,2011-10-20 00:00:00,3.3,3.3,2.9,3.0,1870,2011
136,2011-10-21 00:00:00,2.9,3.1,2.8,3.0,492,2011
137,2011-10-24 00:00:00,3.0,3.0,3.0,3.0,335,2011
138,2011-10-25 00:00:00,3.0,3.2,2.8,3.2,1706,2011
139,2011-10-26 00:00:00,3.2,3.2,3.0,3.0,61,2011
140,2011-10-27 00:00:00,2.9,2.9,2.7,2.8,10732,2011
141,2011-10-28 00:00:00,2.8,2.8,2.7,2.8,1530,2011
142,2011-10-31 00:00:00,2.9,2.9,2.8,2.8,1197,2011
143,2011-11-02 00:00:00,2.7,2.8,2.6,2.8,5520,2011
144,2011-11-03 00:00:00,2.8,2.9,2.8,2.8,750,2011
145,2011-11-04 00:00:00,2.8,2.8,2.5,2.7,1570,2011
146,2011-11-07 00:00:00,2.7,2.7,2.7,2.7,20,2011
147,2011-11-08 00:00:00,2.7,2.8,2.7,2.8,581,2011
148,2011-11-09 00:00:00,2.8,2.8,2.5,2.7,611,2011
149,2011-11-10 00:00:00,2.7,2.7,2.7,2.7,40,2011
150,2011-11-14 00:00:00,2.7,2.8,2.5,2.8,2481,2011
151,2011-11-15 00:00:00,2.8,2.8,2.6,2.8,157,2011
152,2011-11-16 00:00:00,2.8,2.8,2.4,2.6,4718,2011
153,2011-11-17 00:00:00,2.6,2.7,2.5,2.7,355,2011
154,2011-11-18 00:00:00,2.7,2.7,2.7,2.7,40,2011
155,2011-11-21 00:00:00,2.7,2.7,2.7,2.7,40,2011
156,2011-11-22 00:00:00,2.7,2.7,2.3,2.7,3010,2011
157,2011-11-23 00:00:00,2.6,2.6,2.2,2.6,21,2011
158,2011-11-24 00:00:00,2.6,2.6,2.6,2.6,20,2011
159,2011-11-25 00:00:00,2.5,2.6,2.3,2.6,375,2011
160,2011-11-28 00:00:00,2.6,2.6,2.3,2.4,521,2011
161,2011-11-29 00:00:00,2.4,2.4,2.4,2.4,406,2011
162,2011-11-30 00:00:00,2.4,2.5,2.2,2.4,635,2011
163,2011-12-01 00:00:00,2.4,2.5,2.4,2.4,518,2011
164,2011-12-05 00:00:00,2.2,2.4,2.2,2.4,66,2011
165,2011-12-06 00:00:00,2.5,2.5,2.5,2.5,40,2011
166,2011-12-07 00:00:00,2.5,2.5,2.4,2.4,19510,2011
167,2011-12-08 00:00:00,2.4,2.4,2.4,2.4,42,2011
168,2011-12-12 00:00:00,2.3,2.5,2.3,2.4,4028,2011
169,2011-12-13 00:00:00,2.4,2.5,2.4,2.4,890,2011
170,2011-12-14 00:00:00,2.3,2.5,2.3,2.5,1613,2011
171,2011-12-15 00:00:00,2.5,2.5,2.5,2.5,10,2011
172,2011-12-16 00:00:00,2.5,2.5,2.5,2.5,40,2011
173,2011-12-19 00:00:00,2.5,2.5,2.4,2.4,370,2011
174,2011-12-20 00:00:00,2.4,2.4,2.3,2.4,494,2011
175,2011-12-21 00:00:00,2.4,2.4,2.4,2.4,10,2011
176,2011-12-22 00:00:00,2.4,2.4,2.3,2.4,1023,2011
177,2011-12-23 00:00:00,2.3,2.4,2.3,2.4,1027,2011
178,2011-12-27 00:00:00,2.4,2.5,2.3,2.5,3693,2011
179,2011-12-28 00:00:00,2.4,2.5,2.4,2.5,20905,2011
180,2011-12-29 00:00:00,2.5,2.5,2.5,2.5,1146,2011
181,2011-12-30 00:00:00,2.5,2.5,2.5,2.5,420,2011
182,2012-01-02 00:00:00,2.5,2.5,2.5,2.5,67,2012
183,2012-01-03 00:00:00,2.5,2.5,2.5,2.5,10,2012
184,2012-01-04 00:00:00,2.5,2.5,2.5,2.5,40,2012
185,2012-01-05 00:00:00,2.5,2.5,2.2,2.4,1673,2012
186,2012-01-09 00:00:00,2.4,2.4,2.4,2.4,45,2012
187,2012-01-10 00:00:00,2.4,2.4,2.4,2.4,53,2012
188,2012-01-11 00:00:00,2.4,2.4,2.4,2.4,400,2012
189,2012-01-12 00:00:00,2.5,2.5,2.3,2.4,339,2012
190,2012-01-13 00:00:00,2.4,2.4,2.4,2.4,20,2012
191,2012-01-16 00:00:00,2.4,2.5,2.4,2.5,700,2012
192,2012-01-17 00:00:00,2.5,2.5,2.4,2.4,905,2012
193,2012-01-18 00:00:00,2.4,2.4,2.4,2.4,410,2012
194,2012-01-19 00:00:00,2.3,2.5,2.3,2.5,65,2012
195,2012-01-20 00:00:00,2.5,2.5,2.5,2.5,10,2012
196,2012-01-23 00:00:00,2.5,2.5,2.5,2.5,30,2012
197,2012-01-24 00:00:00,2.5,2.5,2.5,2.5,20,2012
198,2012-01-25 00:00:00,2.5,2.5,2.4,2.4,480,2012
199,2012-01-26 00:00:00,2.4,2.4,2.3,2.3,343,2012
200,2012-01-27 00:00:00,2.5,2.7,2.4,2.4,27470,2012
201,2012-01-30 00:00:00,2.3,2.4,2.3,2.3,3587,2012
202,2012-01-31 00:00:00,2.4,2.7,2.3,2.6,35172,2012
203,2012-02-01 00:00:00,2.6,3.2,2.5,3.2,51371,2012
204,2012-02-02 00:00:00,3.2,3.3,2.7,2.9,32865,2012
205,2012-02-03 00:00:00,2.9,2.9,2.6,2.8,18500,2012
206,2012-02-06 00:00:00,2.8,2.8,2.6,2.8,10738,2012
207,2012-02-07 00:00:00,2.8,2.8,2.7,2.7,1720,2012
208,2012-02-08 00:00:00,2.8,2.9,2.6,2.8,9040,2012
209,2012-02-09 00:00:00,2.8,2.8,2.7,2.8,1350,2012
210,2012-02-10 00:00:00,2.7,3.0,2.6,2.8,1537,2012
211,2012-02-13 00:00:00,2.8,2.8,2.7,2.8,1620,2012
212,2012-02-14 00:00:00,2.7,2.8,2.4,2.5,8903,2012
213,2012-02-15 00:00:00,2.4,2.5,2.4,2.5,4481,2012
214,2012-02-16 00:00:00,2.4,2.5,2.3,2.4,8236,2012
215,2012-02-17 00:00:00,2.6,2.6,2.4,2.4,11740,2012
216,2012-02-20 00:00:00,2.6,2.7,2.5,2.6,6320,2012
217,2012-02-21 00:00:00,2.6,2.7,2.4,2.5,31382,2012
218,2012-02-22 00:00:00,2.4,2.6,2.4,2.5,26920,2012
219,2012-02-23 00:00:00,2.5,2.5,2.4,2.5,3553,2012
220,2012-02-24 00:00:00,2.5,2.5,2.5,2.5,100,2012
221,2012-02-27 00:00:00,2.5,2.5,2.4,2.5,3462,2012
222,2012-02-28 00:00:00,2.5,2.5,2.4,2.5,1313,2012
223,2012-02-29 00:00:00,2.5,2.5,2.5,2.5,40,2012
224,2012-03-01 00:00:00,2.5,2.5,2.5,2.5,40,2012
225,2012-03-02 00:00:00,2.5,2.5,2.3,2.5,1116,2012
226,2012-03-05 00:00:00,2.5,2.6,2.4,2.6,18670,2012
227,2012-03-06 00:00:00,2.6,2.6,2.5,2.5,5750,2012
228,2012-03-07 00:00:00,2.5,2.5,2.4,2.5,18126,2012
229,2012-03-08 00:00:00,2.4,2.5,2.4,2.4,15030,2012
230,2012-03-09 00:00:00,2.5,2.5,2.4,2.4,520,2012
231,2012-03-12 00:00:00,2.4,2.4,2.3,2.3,3100,2012
232,2012-03-13 00:00:00,2.4,2.4,2.2,2.3,2191,2012
233,2012-03-14 00:00:00,2.3,2.3,2.3,2.3,520,2012
234,2012-03-15 00:00:00,2.3,2.3,2.3,2.3,200,2012
235,2012-03-16 00:00:00,2.3,2.5,2.3,2.5,4860,2012
236,2012-03-19 00:00:00,2.2,2.3,2.1,2.3,23813,2012
237,2012-03-20 00:00:00,2.3,2.3,2.2,2.3,673,2012
238,2012-03-21 00:00:00,2.3,2.4,2.2,2.3,2172,2012
239,2012-03-22 00:00:00,2.2,2.3,2.1,2.2,24719,2012
240,2012-03-23 00:00:00,2.2,2.3,2.1,2.2,4164,2012
241,2012-03-26 00:00:00,2.2,2.3,2.1,2.2,4250,2012
242,2012-03-27 00:00:00,2.2,2.3,2.2,2.3,69,2012
243,2012-03-28 00:00:00,2.3,2.3,2.2,2.3,724,2012
244,2012-03-29 00:00:00,2.3,2.3,2.1,2.3,2170,2012
245,2012-03-30 00:00:00,2.2,2.3,2.2,2.3,650,2012
246,2012-04-02 00:00:00,2.2,2.2,2.1,2.2,13268,2012
247,2012-04-03 00:00:00,2.2,2.2,2.0,2.0,7867,2012
248,2012-04-04 00:00:00,2.0,2.0,1.9,2.0,5665,2012
249,2012-04-05 00:00:00,2.0,2.0,1.8,2.0,6720,2012
250,2012-04-10 00:00:00,2.0,2.0,2.0,2.0,1656,2012
251,2012-04-11 00:00:00,2.0,2.0,2.0,2.0,20,2012
252,2012-04-12 00:00:00,2.0,2.0,2.0,2.0,820,2012
253,2012-04-13 00:00:00,2.0,2.0,1.9,2.0,1150,2012
254,2012-04-16 00:00:00,2.0,2.0,2.0,2.0,10,2012
255,2012-04-17 00:00:00,2.0,2.0,2.0,2.0,3636,2012
256,2012-04-18 00:00:00,2.0,2.0,2.0,2.0,144,2012
257,2012-04-19 00:00:00,2.0,2.0,2.0,2.0,2980,2012
258,2012-04-20 00:00:00,2.0,2.0,1.7,2.0,4106,2012
259,2012-04-23 00:00:00,2.0,2.0,1.7,1.7,15124,2012
260,2012-04-24 00:00:00,1.7,1.8,1.7,1.8,100,2012
261,2012-04-25 00:00:00,1.8,1.8,1.8,1.8,100,2012
262,2012-04-26 00:00:00,1.8,1.8,1.8,1.8,65,2012
263,2012-04-27 00:00:00,1.8,1.8,1.8,1.8,60,2012
264,2012-04-30 00:00:00,1.8,1.9,1.8,1.9,11804,2012
265,2012-05-02 00:00:00,1.9,1.9,1.9,1.9,329,2012
266,2012-05-04 00:00:00,1.9,1.9,1.9,1.9,60,2012
267,2012-05-07 00:00:00,1.9,1.9,1.9,1.9,767,2012
268,2012-05-08 00:00:00,1.9,1.9,1.9,1.9,6811,2012
269,2012-05-09 00:00:00,1.9,1.9,1.9,1.9,490,2012
270,2012-05-10 00:00:00,1.9,1.9,1.9,1.9,100,2012
271,2012-05-11 00:00:00,1.9,1.9,1.8,1.8,2660,2012
272,2012-05-14 00:00:00,1.9,1.9,1.7,1.8,5464,2012
273,2012-05-15 00:00:00,1.8,1.8,1.7,1.7,1540,2012
274,2012-05-16 00:00:00,1.6,1.8,1.3,1.8,13627,2012
275,2012-05-17 00:00:00,1.8,1.8,1.4,1.5,1335,2012
276,2012-05-18 00:00:00,1.4,1.5,1.3,1.5,4214,2012
277,2012-05-21 00:00:00,1.5,1.5,1.4,1.5,3793,2012
278,2012-05-22 00:00:00,1.5,1.5,1.3,1.4,5218,2012
279,2012-05-23 00:00:00,1.4,1.4,1.3,1.3,112,2012
280,2012-05-24 00:00:00,1.4,1.4,1.4,1.4,782,2012
281,2012-05-25 00:00:00,1.4,1.4,1.4,1.4,30,2012
282,2012-05-28 00:00:00,1.4,1.4,1.3,1.3,3336,2012
283,2012-05-29 00:00:00,1.4,1.4,1.2,1.3,10760,2012
284,2012-05-30 00:00:00,1.3,1.4,1.3,1.3,8245,2012
285,2012-05-31 00:00:00,1.3,1.5,1.3,1.5,1274,2012
286,2012-06-01 00:00:00,1.5,1.5,1.4,1.4,7530,2012
287,2012-06-04 00:00:00,1.4,1.4,1.4,1.4,856,2012
288,2012-06-05 00:00:00,1.4,1.4,1.3,1.3,3980,2012
289,2012-06-06 00:00:00,1.3,1.3,1.2,1.2,2113,2012
290,2012-06-08 00:00:00,1.2,1.4,1.2,1.4,2105,2012
291,2012-06-11 00:00:00,1.4,1.6,1.3,1.6,4602,2012
292,2012-06-12 00:00:00,1.3,1.8,1.3,1.8,2250,2012
293,2012-06-13 00:00:00,1.7,1.7,1.6,1.7,2511,2012
294,2012-06-14 00:00:00,1.7,1.7,1.4,1.6,9365,2012
295,2012-06-15 00:00:00,1.6,1.7,1.5,1.7,8735,2012
296,2012-06-18 00:00:00,1.6,1.9,1.6,1.9,1591,2012
297,2012-06-19 00:00:00,1.9,2.0,1.9,1.9,1171,2012
298,2012-06-20 00:00:00,2.0,2.1,1.9,1.9,1375,2012
299,2012-06-21 00:00:00,1.9,1.9,1.8,1.9,1280,2012
300,2012-06-22 00:00:00,1.9,2.0,1.8,2.0,1330,2012
301,2012-06-25 00:00:00,1.9,1.9,1.7,1.7,160,2012
302,2012-06-26 00:00:00,1.7,1.7,1.7,1.7,10,2012
