,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-13 00:00:00,1.1761,1.4112,1.1761,1.4112,185195,2011
1,2011-07-14 00:00:00,2.2541,2.2541,2.2541,2.2541,98875,2011
2,2011-07-15 00:00:00,2.5481,3.0577,2.0385,3.0577,305684,2011
3,2011-07-18 00:00:00,3.5772,4.1064,2.8617,2.9401,147170,2011
4,2011-07-19 00:00:00,2.8912,3.2342,1.5779,1.7151,301286,2011
5,2011-07-20 00:00:00,1.7053,2.2934,1.4701,2.0385,161200,2011
6,2011-07-21 00:00:00,1.9601,1.9601,1.4701,1.4701,192800,2011
7,2011-07-22 00:00:00,1.421,1.421,0.9801,1.078,381053,2011
8,2011-07-25 00:00:00,1.0585,1.1271,0.9604,1.0291,218348,2011
9,2011-07-26 00:00:00,1.0389,1.0389,0.9213,0.9506,104025,2011
10,2011-07-27 00:00:00,0.9408,0.9703,0.7841,0.7841,215326,2011
11,2011-07-28 00:00:00,0.8134,0.9408,0.735,0.8331,291766,2011
12,2011-07-29 00:00:00,0.8624,1.1075,0.8624,0.9703,604114,2011
13,2011-08-01 00:00:00,1.0291,1.0682,0.8232,0.8232,235793,2011
14,2011-08-02 00:00:00,0.8429,0.8722,0.7841,0.8134,114711,2011
15,2011-08-03 00:00:00,0.8331,0.8331,0.7645,0.7645,81861,2011
16,2011-08-04 00:00:00,0.8134,0.8232,0.7546,0.7546,52304,2011
17,2011-08-05 00:00:00,0.7448,0.7448,0.6469,0.7057,187941,2011
18,2011-08-08 00:00:00,0.6859999999999999,0.6859999999999999,0.5685,0.6174,188598,2011
19,2011-08-09 00:00:00,0.5685,0.6076,0.45082,0.49985,99000,2011
20,2011-08-10 00:00:00,0.5097,0.6076,0.5097,0.539,183434,2011
21,2011-08-11 00:00:00,0.5488,0.6469,0.539,0.5978,145524,2011
22,2011-08-12 00:00:00,0.6174,0.6566,0.5488,0.5783,97787,2011
23,2011-08-16 00:00:00,0.5685,0.6272,0.5586,0.5685,30180,2011
24,2011-08-17 00:00:00,0.5586,0.6859999999999999,0.5586,0.6566,187037,2011
25,2011-08-18 00:00:00,0.6469,0.6958,0.539,0.539,79425,2011
26,2011-08-19 00:00:00,0.5194,0.5783,0.48022,0.49985,67641,2011
27,2011-08-22 00:00:00,0.49985,0.5488,0.47042,0.49985,50699,2011
28,2011-08-23 00:00:00,0.5097,0.5783,0.48022,0.5488,79960,2011
29,2011-08-24 00:00:00,0.5292,0.5685,0.5097,0.5194,12598,2011
30,2011-08-25 00:00:00,0.539,0.5488,0.48022,0.5097,14451,2011
31,2011-08-26 00:00:00,0.49003,0.49003,0.42143,0.48022,22556,2011
32,2011-08-29 00:00:00,0.47042,0.5488,0.47042,0.49003,65006,2011
33,2011-08-30 00:00:00,0.49003,0.5783,0.49003,0.5488,62569,2011
34,2011-08-31 00:00:00,0.5685,0.7645,0.5685,0.7252,161819,2011
35,2011-09-01 00:00:00,0.7252,0.7841,0.6371,0.6371,119112,2011
36,2011-09-02 00:00:00,0.6566,0.6762,0.5586,0.6469,85489,2011
37,2011-09-05 00:00:00,0.6174,0.6859999999999999,0.588,0.6469,23115,2011
38,2011-09-06 00:00:00,0.6371,0.735,0.5783,0.588,84973,2011
39,2011-09-07 00:00:00,0.6076,0.6371,0.5685,0.5685,27109,2011
40,2011-09-08 00:00:00,0.5783,0.6076,0.5685,0.6076,4512,2011
41,2011-09-09 00:00:00,0.5978,0.8527,0.5488,0.7448,290439,2011
42,2011-09-12 00:00:00,0.7546,0.8429,0.6958,0.7448,59006,2011
43,2011-09-13 00:00:00,0.7938,0.8429,0.6958,0.7743,63563,2011
44,2011-09-14 00:00:00,0.735,0.7546,0.6469,0.6566,94177,2011
45,2011-09-15 00:00:00,0.6859999999999999,0.7057,0.6174,0.6371,30678,2011
46,2011-09-16 00:00:00,0.6371,0.6958,0.5978,0.6859999999999999,39920,2011
47,2011-09-19 00:00:00,0.6762,0.6762,0.588,0.5978,17187,2011
48,2011-09-20 00:00:00,0.588,0.6664,0.5783,0.6469,45419,2011
49,2011-09-21 00:00:00,0.6469,0.6469,0.5978,0.5978,41240,2011
50,2011-09-22 00:00:00,0.5978,0.6664,0.588,0.6469,62956,2011
51,2011-09-23 00:00:00,0.6566,0.6566,0.5783,0.6174,21346,2011
52,2011-09-26 00:00:00,0.6174,0.6469,0.6174,0.6469,9561,2011
53,2011-09-27 00:00:00,0.6371,0.6566,0.5978,0.6469,30612,2011
54,2011-09-28 00:00:00,0.6469,0.6469,0.5194,0.5685,122665,2011
55,2011-09-29 00:00:00,0.5685,0.5685,0.539,0.5488,28744,2011
56,2011-09-30 00:00:00,0.539,0.5586,0.5194,0.5586,25090,2011
57,2011-10-03 00:00:00,0.5488,0.5488,0.5292,0.5292,4531,2011
58,2011-10-04 00:00:00,0.5292,0.5292,0.49985,0.5292,5786,2011
59,2011-10-05 00:00:00,0.5292,0.5292,0.49003,0.5292,10920,2011
60,2011-10-06 00:00:00,0.5292,0.5292,0.49003,0.5194,12153,2011
61,2011-10-07 00:00:00,0.5194,0.5292,0.49003,0.5194,8971,2011
62,2011-10-10 00:00:00,0.5097,0.5586,0.5097,0.5586,14889,2011
63,2011-10-11 00:00:00,0.5586,0.5586,0.5586,0.5586,306,2011
64,2011-10-12 00:00:00,0.5586,0.5586,0.5194,0.5194,16619,2011
65,2011-10-13 00:00:00,0.539,0.539,0.48022,0.5097,38028,2011
66,2011-10-14 00:00:00,0.5097,0.5194,0.49003,0.5097,7690,2011
67,2011-10-17 00:00:00,0.5194,0.5292,0.49985,0.5292,6420,2011
68,2011-10-18 00:00:00,0.5292,0.6076,0.5194,0.5586,64969,2011
69,2011-10-19 00:00:00,0.5488,0.5685,0.49985,0.5292,9103,2011
70,2011-10-20 00:00:00,0.5194,0.5292,0.49985,0.5292,7464,2011
71,2011-10-21 00:00:00,0.539,0.588,0.49985,0.588,13114,2011
72,2011-10-24 00:00:00,0.5783,0.588,0.49985,0.539,20257,2011
73,2011-10-25 00:00:00,0.539,0.5586,0.5097,0.5488,15473,2011
74,2011-10-26 00:00:00,0.539,0.5488,0.49985,0.5292,27680,2011
75,2011-10-27 00:00:00,0.5292,0.5488,0.5097,0.539,25664,2011
76,2011-10-28 00:00:00,0.5194,0.5292,0.5097,0.5292,3408,2011
77,2011-10-31 00:00:00,0.5292,0.5292,0.49985,0.5292,34556,2011
78,2011-11-02 00:00:00,0.5292,0.5292,0.5097,0.5194,527,2011
79,2011-11-03 00:00:00,0.5292,0.5292,0.48022,0.5097,2169,2011
80,2011-11-04 00:00:00,0.49985,0.49985,0.48022,0.49985,4984,2011
81,2011-11-07 00:00:00,0.49003,0.5097,0.46062,0.5097,11938,2011
82,2011-11-08 00:00:00,0.49003,0.539,0.46062,0.5292,33881,2011
83,2011-11-09 00:00:00,0.5292,0.5488,0.5292,0.5488,8458,2011
84,2011-11-10 00:00:00,0.5292,0.539,0.5292,0.539,2041,2011
85,2011-11-14 00:00:00,0.5292,0.5292,0.47042,0.5194,26972,2011
86,2011-11-15 00:00:00,0.5194,0.539,0.49985,0.539,23574,2011
87,2011-11-16 00:00:00,0.5194,0.539,0.49003,0.5292,25400,2011
88,2011-11-17 00:00:00,0.5292,0.5292,0.5097,0.5097,1423,2011
89,2011-11-18 00:00:00,0.5292,0.5292,0.47042,0.5097,22838,2011
90,2011-11-21 00:00:00,0.49985,0.49985,0.41162,0.44101999999999997,27677,2011
91,2011-11-22 00:00:00,0.43122,0.49985,0.41162,0.49985,9372,2011
92,2011-11-23 00:00:00,0.49985,0.5194,0.49985,0.49985,3930,2011
93,2011-11-24 00:00:00,0.5097,0.5097,0.48022,0.5097,2765,2011
94,2011-11-25 00:00:00,0.5097,0.5097,0.49003,0.49985,2142,2011
95,2011-11-28 00:00:00,0.48022,0.49985,0.48022,0.49985,102,2011
96,2011-11-29 00:00:00,0.49003,0.49003,0.48022,0.49003,3020,2011
97,2011-11-30 00:00:00,0.49003,0.49003,0.49003,0.49003,377,2011
98,2011-12-01 00:00:00,0.47042,0.49003,0.45082,0.45082,4511,2011
99,2011-12-02 00:00:00,0.46062,0.48022,0.46062,0.48022,1521,2011
100,2011-12-05 00:00:00,0.48022,0.5292,0.48022,0.5292,3617,2011
101,2011-12-06 00:00:00,0.5292,0.5292,0.5194,0.5194,409,2011
102,2011-12-08 00:00:00,0.5194,0.5194,0.5194,0.5194,204,2011
103,2011-12-13 00:00:00,0.5097,0.5097,0.48022,0.48022,971,2011
104,2011-12-14 00:00:00,0.47042,0.47042,0.47042,0.47042,255,2011
105,2011-12-15 00:00:00,0.46062,0.5194,0.46062,0.5194,3291,2011
106,2011-12-16 00:00:00,0.49985,0.5194,0.49003,0.49985,13081,2011
107,2011-12-19 00:00:00,0.49003,0.5097,0.49003,0.5097,240,2011
108,2011-12-20 00:00:00,0.5097,0.5194,0.5097,0.5194,2077,2011
109,2011-12-21 00:00:00,0.5097,0.5097,0.5097,0.5097,1105,2011
110,2011-12-23 00:00:00,0.49003,0.5097,0.49003,0.5097,2551,2011
111,2011-12-27 00:00:00,0.5194,0.5292,0.41162,0.49985,30352,2011
112,2011-12-28 00:00:00,0.49985,0.49985,0.41162,0.49003,12448,2011
113,2011-12-29 00:00:00,0.48022,0.5194,0.42143,0.46062,26632,2011
114,2011-12-30 00:00:00,0.49003,0.5097,0.49003,0.5097,1438,2011
115,2012-01-02 00:00:00,0.5097,0.5097,0.44101999999999997,0.45082,3979,2012
116,2012-01-03 00:00:00,0.45082,0.49003,0.44101999999999997,0.49003,3352,2012
117,2012-01-04 00:00:00,0.49003,0.49003,0.44101999999999997,0.45082,6990,2012
118,2012-01-05 00:00:00,0.45082,0.45082,0.44101999999999997,0.44101999999999997,5169,2012
119,2012-01-09 00:00:00,0.45082,0.47042,0.45082,0.46062,1288,2012
120,2012-01-10 00:00:00,0.44101999999999997,0.45082,0.44101999999999997,0.45082,714,2012
121,2012-01-11 00:00:00,0.46062,0.46062,0.43122,0.44101999999999997,9794,2012
122,2012-01-12 00:00:00,0.45082,0.48022,0.44101999999999997,0.44101999999999997,25101,2012
123,2012-01-13 00:00:00,0.45082,0.45082,0.40181999999999995,0.42143,23189,2012
124,2012-01-16 00:00:00,0.44101999999999997,0.5292,0.44101999999999997,0.5194,55884,2012
125,2012-01-17 00:00:00,0.5097,0.5292,0.46062,0.5292,34776,2012
126,2012-01-18 00:00:00,0.5097,0.5685,0.49985,0.5685,30966,2012
127,2012-01-19 00:00:00,0.5685,0.6174,0.5194,0.539,23427,2012
128,2012-01-20 00:00:00,0.539,0.539,0.5097,0.539,13583,2012
129,2012-01-23 00:00:00,0.5292,0.5292,0.49003,0.49985,16529,2012
130,2012-01-24 00:00:00,0.5194,0.5292,0.49003,0.5292,7053,2012
131,2012-01-25 00:00:00,0.5292,0.5488,0.48022,0.48022,18041,2012
132,2012-01-26 00:00:00,0.48022,0.539,0.48022,0.5194,8633,2012
133,2012-01-27 00:00:00,0.5292,0.539,0.5292,0.539,1235,2012
134,2012-01-30 00:00:00,0.539,0.5488,0.539,0.5488,3571,2012
135,2012-01-31 00:00:00,0.5488,0.5488,0.49003,0.49003,9183,2012
136,2012-02-01 00:00:00,0.5097,0.5097,0.5097,0.5097,2041,2012
137,2012-02-03 00:00:00,0.5097,0.5097,0.49003,0.5097,13600,2012
138,2012-02-06 00:00:00,0.5097,0.5097,0.48022,0.49003,27607,2012
139,2012-02-07 00:00:00,0.5097,0.5097,0.48022,0.48022,5255,2012
140,2012-02-08 00:00:00,0.48022,0.48022,0.48022,0.48022,10611,2012
141,2012-02-09 00:00:00,0.48022,0.5292,0.45082,0.5292,29724,2012
142,2012-02-10 00:00:00,0.5292,0.5292,0.49003,0.5194,6225,2012
143,2012-02-13 00:00:00,0.49985,0.49985,0.46062,0.49003,31631,2012
144,2012-02-14 00:00:00,0.48022,0.48022,0.48022,0.48022,204,2012
145,2012-02-15 00:00:00,0.49003,0.5292,0.48022,0.49985,159227,2012
146,2012-02-16 00:00:00,0.49985,0.5292,0.49003,0.5292,22755,2012
147,2012-02-17 00:00:00,0.5292,0.5292,0.5097,0.5292,9040,2012
148,2012-02-20 00:00:00,0.5292,0.539,0.5097,0.539,14092,2012
149,2012-02-21 00:00:00,0.5194,0.539,0.5097,0.5097,16122,2012
150,2012-02-22 00:00:00,0.5097,0.5292,0.5097,0.5097,11224,2012
151,2012-02-23 00:00:00,0.5194,0.539,0.5194,0.5292,14142,2012
152,2012-02-24 00:00:00,0.5292,0.5586,0.5194,0.539,12308,2012
153,2012-02-27 00:00:00,0.5194,0.5783,0.5097,0.5194,13896,2012
154,2012-02-28 00:00:00,0.5097,0.539,0.5097,0.539,664,2012
155,2012-02-29 00:00:00,0.539,0.5685,0.539,0.5685,1022,2012
156,2012-03-01 00:00:00,0.5488,0.5488,0.5488,0.5488,1275,2012
157,2012-03-02 00:00:00,0.5488,0.5685,0.5488,0.5488,1022,2012
158,2012-03-05 00:00:00,0.5586,0.588,0.5586,0.588,10306,2012
159,2012-03-06 00:00:00,0.588,0.588,0.5097,0.5097,12040,2012
160,2012-03-07 00:00:00,0.539,0.6076,0.539,0.6076,57745,2012
161,2012-03-08 00:00:00,0.6076,0.6664,0.6076,0.6566,82112,2012
162,2012-03-09 00:00:00,0.6566,0.6762,0.6174,0.6371,26325,2012
163,2012-03-12 00:00:00,0.6371,0.6566,0.6076,0.6076,9482,2012
164,2012-03-13 00:00:00,0.6076,0.6371,0.5978,0.6371,14106,2012
165,2012-03-14 00:00:00,0.6174,0.6174,0.5685,0.5685,17706,2012
166,2012-03-15 00:00:00,0.5978,0.6371,0.588,0.6272,5316,2012
167,2012-03-16 00:00:00,0.6272,0.6371,0.6174,0.6371,4785,2012
168,2012-03-19 00:00:00,0.6371,0.6469,0.6371,0.6469,1530,2012
169,2012-03-20 00:00:00,0.6469,0.6469,0.5978,0.6076,7346,2012
170,2012-03-21 00:00:00,0.5978,0.5978,0.588,0.588,246,2012
171,2012-03-22 00:00:00,0.588,0.588,0.588,0.588,162,2012
172,2012-03-23 00:00:00,0.5978,0.5978,0.5978,0.5978,102,2012
173,2012-03-26 00:00:00,0.588,0.588,0.5097,0.5488,10713,2012
174,2012-03-27 00:00:00,0.5488,0.5488,0.5488,0.5488,1021,2012
175,2012-03-28 00:00:00,0.5586,0.588,0.5586,0.588,9459,2012
176,2012-03-30 00:00:00,0.5488,0.5488,0.5292,0.5292,7224,2012
177,2012-04-05 00:00:00,0.5194,0.6076,0.49985,0.5488,32730,2012
178,2012-04-10 00:00:00,0.588,0.6469,0.588,0.6272,20552,2012
179,2012-04-11 00:00:00,0.5978,0.5978,0.588,0.588,7124,2012
180,2012-04-12 00:00:00,0.588,0.588,0.5685,0.5685,9285,2012
181,2012-04-13 00:00:00,0.5685,0.5685,0.5488,0.5488,1277,2012
182,2012-04-17 00:00:00,0.5488,0.588,0.5488,0.588,1226,2012
183,2012-04-18 00:00:00,0.5783,0.588,0.5292,0.5292,3878,2012
184,2012-04-19 00:00:00,0.539,0.539,0.5194,0.539,14183,2012
185,2012-04-23 00:00:00,0.5292,0.5292,0.5194,0.5194,213,2012
186,2012-04-24 00:00:00,0.5194,0.5194,0.49003,0.49003,9897,2012
187,2012-04-25 00:00:00,0.49003,0.539,0.47042,0.49985,14734,2012
188,2012-04-27 00:00:00,0.5194,0.5292,0.5194,0.5292,4081,2012
189,2012-04-30 00:00:00,0.5097,0.5097,0.5097,0.5097,1367,2012
190,2012-05-07 00:00:00,0.5097,0.5097,0.5097,0.5097,204,2012
191,2012-05-09 00:00:00,0.49985,0.5292,0.49985,0.5292,4897,2012
192,2012-05-10 00:00:00,0.5292,0.5292,0.5292,0.5292,153,2012
193,2012-05-11 00:00:00,0.539,0.539,0.5097,0.5097,409,2012
194,2012-05-14 00:00:00,0.5292,0.5292,0.49003,0.49003,5821,2012
195,2012-05-15 00:00:00,0.5194,0.5194,0.49985,0.49985,4395,2012
196,2012-05-16 00:00:00,0.5097,0.5783,0.49003,0.5783,14438,2012
197,2012-05-17 00:00:00,0.5685,0.5685,0.5292,0.5292,7291,2012
198,2012-05-18 00:00:00,0.539,0.6076,0.5194,0.6076,13639,2012
199,2012-05-21 00:00:00,0.6076,0.6371,0.6076,0.6076,10713,2012
200,2012-05-22 00:00:00,0.6174,0.6174,0.6174,0.6174,102,2012
201,2012-05-23 00:00:00,0.6174,0.6174,0.5783,0.5783,1123,2012
202,2012-05-24 00:00:00,0.6076,0.6076,0.6076,0.6076,102,2012
203,2012-05-25 00:00:00,0.588,0.588,0.588,0.588,5000,2012
204,2012-05-28 00:00:00,0.6174,0.6272,0.6174,0.6272,4440,2012
205,2012-05-29 00:00:00,0.6371,0.6371,0.6371,0.6371,102,2012
206,2012-05-30 00:00:00,0.6272,0.6272,0.6174,0.6272,2183,2012
207,2012-06-01 00:00:00,0.6371,0.6371,0.588,0.588,4540,2012
208,2012-06-04 00:00:00,0.5978,0.5978,0.5978,0.5978,4183,2012
209,2012-06-05 00:00:00,0.588,0.588,0.588,0.588,4286,2012
210,2012-06-06 00:00:00,0.5978,0.5978,0.588,0.5978,204,2012
211,2012-06-12 00:00:00,0.5978,0.6272,0.5783,0.5783,7653,2012
212,2012-06-13 00:00:00,0.5685,0.588,0.5586,0.588,8162,2012
213,2012-06-14 00:00:00,0.588,0.6076,0.5586,0.5586,15510,2012
214,2012-06-15 00:00:00,0.588,0.588,0.588,0.588,5545,2012
215,2012-06-18 00:00:00,0.5978,0.5978,0.588,0.588,4388,2012
216,2012-06-19 00:00:00,0.6371,0.6371,0.6371,0.6371,4081,2012
217,2012-06-21 00:00:00,0.6469,0.6566,0.6371,0.6371,2194,2012
218,2012-06-22 00:00:00,0.6371,0.6371,0.6371,0.6371,51,2012
219,2012-06-26 00:00:00,0.6566,0.6566,0.6076,0.6076,255,2012
220,2012-06-27 00:00:00,0.6076,0.6076,0.5685,0.5685,4643,2012
221,2012-06-28 00:00:00,0.5685,0.5685,0.5685,0.5685,153,2012
222,2012-07-03 00:00:00,0.5685,0.5685,0.5097,0.5292,5051,2012
223,2012-07-04 00:00:00,0.5586,0.5586,0.5586,0.5586,102,2012
224,2012-07-05 00:00:00,0.5586,0.5586,0.5194,0.5194,2653,2012
225,2012-07-06 00:00:00,0.49003,0.49003,0.48022,0.49003,1530,2012
226,2012-07-11 00:00:00,0.49003,0.49003,0.48022,0.48022,1785,2012
227,2012-07-13 00:00:00,0.47042,0.47042,0.47042,0.47042,510,2012
228,2012-07-16 00:00:00,0.47042,0.47042,0.47042,0.47042,255,2012
229,2012-07-17 00:00:00,0.47042,0.47042,0.47042,0.47042,2500,2012
230,2012-07-18 00:00:00,0.46062,0.46062,0.46062,0.46062,510,2012
231,2012-07-19 00:00:00,0.46062,0.46062,0.46062,0.46062,204,2012
232,2012-07-20 00:00:00,0.46062,0.46062,0.46062,0.46062,102,2012
233,2012-07-23 00:00:00,0.49003,0.5097,0.49003,0.5097,409,2012
234,2012-07-24 00:00:00,0.5292,0.5292,0.5292,0.5292,102,2012
235,2012-07-25 00:00:00,0.539,0.539,0.539,0.539,102,2012
236,2012-07-26 00:00:00,0.5097,0.5097,0.47042,0.47042,3571,2012
237,2012-07-27 00:00:00,0.47042,0.47042,0.45082,0.46062,816,2012
238,2012-07-30 00:00:00,0.45082,0.45082,0.45082,0.45082,153,2012
239,2012-08-01 00:00:00,0.45082,0.45082,0.45082,0.45082,204,2012
240,2012-08-02 00:00:00,0.45082,0.45082,0.45082,0.45082,204,2012
241,2012-08-06 00:00:00,0.45082,0.45082,0.45082,0.45082,153,2012
242,2012-08-07 00:00:00,0.45082,0.45082,0.45082,0.45082,204,2012
243,2012-08-10 00:00:00,0.45082,0.46062,0.45082,0.45082,357,2012
244,2012-08-13 00:00:00,0.48022,0.5194,0.48022,0.49003,511,2012
245,2012-08-14 00:00:00,0.49003,0.49003,0.49003,0.49003,102,2012
246,2012-08-16 00:00:00,0.46062,0.46062,0.44101999999999997,0.45082,3675,2012
247,2012-08-17 00:00:00,0.48022,0.48022,0.48022,0.48022,51,2012
248,2012-08-20 00:00:00,0.48022,0.48022,0.48022,0.48022,51,2012
249,2012-08-21 00:00:00,0.48022,0.48022,0.46062,0.46062,153,2012
250,2012-08-22 00:00:00,0.46062,0.46062,0.42143,0.42143,6837,2012
251,2012-08-23 00:00:00,0.41162,0.42143,0.39202,0.42143,918,2012
252,2012-08-24 00:00:00,0.40181999999999995,0.40181999999999995,0.36262,0.37242,613,2012
253,2012-08-27 00:00:00,0.36262,0.39202,0.36262,0.38222,2755,2012
254,2012-08-28 00:00:00,0.38222,0.38222,0.38222,0.38222,102,2012
255,2012-08-29 00:00:00,0.39202,0.45082,0.39202,0.45082,6327,2012
256,2012-08-30 00:00:00,0.42143,0.42143,0.36262,0.36262,714,2012
257,2012-08-31 00:00:00,0.37242,0.40181999999999995,0.35281999999999997,0.40181999999999995,4438,2012
258,2012-09-03 00:00:00,0.38222,0.38222,0.37242,0.37242,4849,2012
259,2012-09-04 00:00:00,0.39202,0.42143,0.39202,0.40181999999999995,459,2012
260,2012-09-05 00:00:00,0.41162,0.41162,0.41162,0.41162,102,2012
261,2012-09-06 00:00:00,0.42143,0.43122,0.42143,0.42143,306,2012
262,2012-09-07 00:00:00,0.42143,0.42143,0.42143,0.42143,102,2012
263,2012-09-10 00:00:00,0.43122,0.47042,0.43122,0.47042,510,2012
264,2012-09-11 00:00:00,0.48022,0.48022,0.48022,0.48022,102,2012
265,2012-09-12 00:00:00,0.49003,0.49003,0.49003,0.49003,2398,2012
266,2012-09-13 00:00:00,0.45082,0.45082,0.39202,0.39202,4388,2012
267,2012-09-14 00:00:00,0.35281999999999997,0.49985,0.32342,0.40181999999999995,19348,2012
268,2012-09-17 00:00:00,0.39202,0.39202,0.32342,0.39202,29747,2012
269,2012-09-18 00:00:00,0.34302,0.34302,0.31361,0.32342,18536,2012
270,2012-09-19 00:00:00,0.31361,0.31361,0.26461,0.30382,12857,2012
271,2012-09-20 00:00:00,0.30382,0.30382,0.28422,0.28422,2142,2012
272,2012-09-21 00:00:00,0.30382,0.30382,0.26461,0.30382,6656,2012
273,2012-09-24 00:00:00,0.30382,0.30382,0.30382,0.30382,2041,2012
274,2012-09-25 00:00:00,0.30382,0.30382,0.30382,0.30382,204,2012
275,2012-09-26 00:00:00,0.30382,0.30382,0.27441,0.27441,3648,2012
276,2012-09-27 00:00:00,0.28422,0.29401,0.28422,0.29401,2653,2012
277,2012-09-28 00:00:00,0.30382,0.30382,0.28422,0.30382,7552,2012
278,2012-10-01 00:00:00,0.26461,0.27441,0.24500999999999998,0.27441,3339,2012
279,2012-10-02 00:00:00,0.29401,0.30382,0.29401,0.30382,4539,2012
280,2012-10-03 00:00:00,0.30382,0.30382,0.27441,0.27441,5024,2012
281,2012-10-04 00:00:00,0.27441,0.27441,0.27441,0.27441,102,2012
282,2012-10-05 00:00:00,0.27441,0.27441,0.27441,0.27441,153,2012
283,2012-10-08 00:00:00,0.28422,0.31361,0.28422,0.31361,357,2012
284,2012-10-09 00:00:00,0.31361,0.31361,0.27441,0.29401,4643,2012
285,2012-10-10 00:00:00,0.31361,0.31361,0.30382,0.31361,2142,2012
286,2012-10-11 00:00:00,0.31361,0.31361,0.30382,0.31361,7232,2012
287,2012-10-12 00:00:00,0.31361,0.31361,0.27441,0.27441,510,2012
288,2012-10-15 00:00:00,0.24500999999999998,0.26461,0.24500999999999998,0.26461,9795,2012
289,2012-10-16 00:00:00,0.28422,0.28422,0.26461,0.26461,51120,2012
290,2012-10-17 00:00:00,0.28422,0.28422,0.28422,0.28422,102,2012
291,2012-10-18 00:00:00,0.28422,0.28422,0.28422,0.28422,204,2012
292,2012-10-19 00:00:00,0.28422,0.28422,0.27441,0.27441,3163,2012
293,2012-10-22 00:00:00,0.28422,0.28422,0.26461,0.26461,4183,2012
294,2012-10-23 00:00:00,0.28422,0.28422,0.28422,0.28422,102,2012
295,2012-10-24 00:00:00,0.28422,0.28422,0.28422,0.28422,19591,2012
296,2012-10-25 00:00:00,0.29401,0.29401,0.27441,0.27441,4081,2012
297,2012-10-26 00:00:00,0.29401,0.29401,0.29401,0.29401,204,2012
298,2012-10-29 00:00:00,0.29401,0.29401,0.26461,0.26461,714,2012
299,2012-10-30 00:00:00,0.26461,0.26461,0.26461,0.26461,51,2012
300,2012-10-31 00:00:00,0.26461,0.29401,0.26461,0.29401,2092,2012
301,2012-11-02 00:00:00,0.28422,0.28422,0.28422,0.28422,204,2012
302,2012-11-05 00:00:00,0.29401,0.29401,0.29401,0.29401,51,2012
303,2012-11-06 00:00:00,0.29401,0.29401,0.29401,0.29401,51,2012
304,2012-11-07 00:00:00,0.29401,0.29401,0.27441,0.27441,4183,2012
305,2012-11-08 00:00:00,0.27441,0.28422,0.27441,0.28422,4846,2012
306,2012-11-09 00:00:00,0.29401,0.35281999999999997,0.29401,0.35281999999999997,69333,2012
307,2012-11-12 00:00:00,0.33321,0.35281999999999997,0.33321,0.35281999999999997,7436,2012
308,2012-11-13 00:00:00,0.35281999999999997,0.35281999999999997,0.31361,0.31361,5408,2012
309,2012-11-14 00:00:00,0.31361,0.31361,0.25481,0.27441,13756,2012
310,2012-11-15 00:00:00,0.27441,0.27441,0.27441,0.27441,1939,2012
311,2012-11-16 00:00:00,0.26461,0.28422,0.26461,0.28422,2755,2012
312,2012-11-19 00:00:00,0.28422,0.29401,0.28422,0.29401,3674,2012
313,2012-11-20 00:00:00,0.30382,0.30382,0.30382,0.30382,5163,2012
314,2012-11-21 00:00:00,0.30382,0.32342,0.30382,0.32342,205,2012
315,2012-11-22 00:00:00,0.32342,0.32342,0.32342,0.32342,102,2012
316,2012-11-23 00:00:00,0.32342,0.32342,0.29401,0.29401,4235,2012
317,2012-11-26 00:00:00,0.29401,0.29401,0.24500999999999998,0.25481,35635,2012
318,2012-11-27 00:00:00,0.24500999999999998,0.31361,0.24500999999999998,0.31361,10356,2012
319,2012-11-28 00:00:00,0.32342,0.32342,0.31361,0.31361,1735,2012
320,2012-11-29 00:00:00,0.32342,0.35281999999999997,0.32342,0.32342,1275,2012
321,2012-11-30 00:00:00,0.30382,0.30382,0.26461,0.27441,6949,2012
322,2012-12-03 00:00:00,0.29401,0.29401,0.27441,0.27441,4897,2012
323,2012-12-04 00:00:00,0.29401,0.29401,0.26461,0.26461,8010,2012
324,2012-12-05 00:00:00,0.26461,0.29401,0.26461,0.29401,1887,2012
325,2012-12-06 00:00:00,0.27441,0.27441,0.27441,0.27441,510,2012
326,2012-12-07 00:00:00,0.27441,0.27441,0.27441,0.27441,255,2012
327,2012-12-10 00:00:00,0.27441,0.27441,0.27441,0.27441,153,2012
328,2012-12-11 00:00:00,0.27441,0.28422,0.27441,0.28422,1428,2012
329,2012-12-12 00:00:00,0.29401,0.29401,0.26461,0.27441,6225,2012
330,2012-12-13 00:00:00,0.26461,0.26461,0.23521,0.23521,13130,2012
331,2012-12-14 00:00:00,0.26461,0.26461,0.23521,0.25481,4438,2012
