,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-09-28 00:00:00,0.5,0.5,0.25,0.25,15880,2012
1,2012-10-01 00:00:00,0.25,0.26,0.21,0.22,28786,2012
2,2012-10-02 00:00:00,0.22,0.22,0.22,0.22,9250,2012
3,2012-10-03 00:00:00,0.22,0.22,0.2,0.2,4300,2012
4,2012-10-04 00:00:00,0.2,0.28,0.2,0.28,26948,2012
5,2012-10-05 00:00:00,0.38,0.38,0.38,0.38,4100,2012
6,2012-10-08 00:00:00,0.36,0.43,0.34,0.4,31241,2012
7,2012-10-09 00:00:00,0.43,0.57,0.41,0.54,18032,2012
8,2012-10-10 00:00:00,0.53,0.61,0.43,0.43,18848,2012
9,2012-10-11 00:00:00,0.49,0.49,0.4,0.4,19077,2012
10,2012-10-12 00:00:00,0.37,0.44,0.37,0.4,1450,2012
11,2012-10-15 00:00:00,0.38,0.38,0.32,0.35,5227,2012
12,2012-10-16 00:00:00,0.37,0.37,0.3,0.36,2413,2012
13,2012-10-17 00:00:00,0.3,0.36,0.3,0.36,500,2012
14,2012-10-18 00:00:00,0.37,0.38,0.37,0.38,300,2012
15,2012-10-23 00:00:00,0.31,0.33,0.26,0.26,7750,2012
16,2012-10-24 00:00:00,0.21,0.27,0.21,0.25,6016,2012
17,2012-10-25 00:00:00,0.28,0.28,0.23,0.23,340,2012
18,2012-10-26 00:00:00,0.22,0.22,0.21,0.21,300,2012
19,2012-10-29 00:00:00,0.21,0.22,0.19,0.22,845,2012
20,2012-10-30 00:00:00,0.23,0.26,0.22,0.26,2600,2012
21,2012-10-31 00:00:00,0.26,0.27,0.26,0.27,350,2012
22,2012-11-02 00:00:00,0.27,0.31,0.27,0.31,11147,2012
23,2012-11-05 00:00:00,0.33,0.44,0.33,0.34,11825,2012
24,2012-11-06 00:00:00,0.34,0.34,0.29,0.32,5551,2012
25,2012-11-07 00:00:00,0.25,0.29,0.25,0.29,498,2012
26,2012-11-08 00:00:00,0.28,0.28,0.25,0.25,2449,2012
27,2012-11-09 00:00:00,0.25,0.26,0.2,0.25,4130,2012
28,2012-11-12 00:00:00,0.24,0.3,0.24,0.28,8734,2012
29,2012-11-13 00:00:00,0.3,0.32,0.28,0.32,8948,2012
30,2012-11-14 00:00:00,0.32,0.32,0.32,0.32,100,2012
31,2012-11-15 00:00:00,0.32,0.32,0.28,0.28,200,2012
32,2012-11-16 00:00:00,0.3,0.32,0.3,0.32,101,2012
33,2012-11-19 00:00:00,0.32,0.32,0.3,0.3,51,2012
34,2012-11-20 00:00:00,0.3,0.3,0.24,0.24,4180,2012
35,2012-11-21 00:00:00,0.26,0.26,0.23,0.23,6168,2012
36,2012-11-22 00:00:00,0.24,0.24,0.24,0.24,1,2012
37,2012-11-23 00:00:00,0.23,0.25,0.2,0.23,9306,2012
38,2012-11-26 00:00:00,0.25,0.26,0.25,0.26,1900,2012
39,2012-11-27 00:00:00,0.25,0.25,0.21,0.21,1050,2012
40,2012-11-28 00:00:00,0.21,0.21,0.17,0.17,11523,2012
41,2012-11-29 00:00:00,0.16,0.16,0.16,0.16,1,2012
42,2012-11-30 00:00:00,0.18,0.18,0.15,0.18,2750,2012
43,2012-12-05 00:00:00,0.18,0.19,0.18,0.19,1863,2012
44,2012-12-06 00:00:00,0.2,0.2,0.2,0.2,1,2012
45,2012-12-07 00:00:00,0.2,0.22,0.2,0.22,1000,2012
46,2012-12-10 00:00:00,0.18,0.18,0.18,0.18,2500,2012
47,2012-12-11 00:00:00,0.18,0.18,0.15,0.18,5025,2012
48,2012-12-12 00:00:00,0.18,0.18,0.18,0.18,1000,2012
49,2012-12-13 00:00:00,0.17,0.17,0.15,0.15,2000,2012
50,2012-12-14 00:00:00,0.17,0.17,0.17,0.17,86000,2012
51,2012-12-17 00:00:00,0.17,0.18,0.16,0.16,1466,2012
52,2012-12-21 00:00:00,0.16,0.16,0.15,0.15,1728,2012
53,2012-12-27 00:00:00,0.15,0.15,0.15,0.15,250,2012
54,2012-12-28 00:00:00,0.15,0.18,0.15,0.18,2171,2012
55,2013-01-03 00:00:00,0.18,0.18,0.18,0.18,750,2013
56,2013-01-04 00:00:00,0.18,0.18,0.17,0.17,1700,2013
57,2013-01-08 00:00:00,0.17,0.18,0.17,0.18,1750,2013
58,2013-01-09 00:00:00,0.18,0.18,0.18,0.18,1000,2013
59,2013-01-11 00:00:00,0.17,0.17,0.12,0.16,23297,2013
60,2013-01-15 00:00:00,0.13,0.15,0.13,0.15,6300,2013
61,2013-01-16 00:00:00,0.14,0.14,0.14,0.14,1000,2013
62,2013-01-17 00:00:00,0.14,0.14,0.14,0.14,2422,2013
63,2013-01-18 00:00:00,0.15,0.16,0.15,0.16,4600,2013
64,2013-01-21 00:00:00,0.15,0.15,0.15,0.15,1000,2013
65,2013-01-22 00:00:00,0.15,0.15,0.15,0.15,200,2013
66,2013-01-23 00:00:00,0.15,0.15,0.15,0.15,518,2013
67,2013-01-24 00:00:00,0.15,0.15,0.15,0.15,500,2013
68,2013-01-25 00:00:00,0.15,0.15,0.15,0.15,250,2013
69,2013-01-28 00:00:00,0.15,0.17,0.15,0.17,3000,2013
70,2013-01-29 00:00:00,0.16,0.16,0.16,0.16,100,2013
71,2013-01-30 00:00:00,0.16,0.19,0.16,0.16,11600,2013
72,2013-01-31 00:00:00,0.16,0.22,0.16,0.2,15550,2013
73,2013-02-01 00:00:00,0.2,0.28,0.2,0.23,22966,2013
74,2013-02-04 00:00:00,0.26,0.26,0.26,0.26,1000,2013
75,2013-02-08 00:00:00,0.24,0.24,0.22,0.22,8650,2013
76,2013-02-11 00:00:00,0.24,0.24,0.24,0.24,2000,2013
77,2013-02-12 00:00:00,0.24,0.28,0.24,0.24,15610,2013
78,2013-02-13 00:00:00,0.28,0.28,0.25,0.25,6100,2013
79,2013-02-15 00:00:00,0.29,0.29,0.29,0.29,100,2013
80,2013-02-18 00:00:00,0.29,0.31,0.29,0.31,10100,2013
81,2013-02-19 00:00:00,0.31,0.37,0.31,0.35,9800,2013
82,2013-02-20 00:00:00,0.35,0.36,0.35,0.36,1100,2013
83,2013-02-21 00:00:00,0.36,0.51,0.36,0.51,11100,2013
84,2013-02-22 00:00:00,0.56,0.61,0.43,0.6,23108,2013
85,2013-02-25 00:00:00,0.54,0.54,0.4,0.4,6708,2013
86,2013-02-26 00:00:00,0.47,0.47,0.34,0.34,86410,2013
87,2013-02-27 00:00:00,0.35,0.35,0.33,0.33,300,2013
88,2013-02-28 00:00:00,0.35,0.35,0.33,0.33,250,2013
89,2013-03-06 00:00:00,0.41,0.41,0.4,0.4,8100,2013
90,2013-03-07 00:00:00,0.39,0.39,0.39,0.39,100,2013
91,2013-03-08 00:00:00,0.4,0.46,0.39,0.46,18097,2013
92,2013-03-11 00:00:00,0.46,0.46,0.46,0.46,50,2013
93,2013-03-12 00:00:00,0.46,0.46,0.46,0.46,50,2013
94,2013-03-13 00:00:00,0.46,0.46,0.43,0.43,200,2013
95,2013-03-18 00:00:00,0.43,0.43,0.38,0.38,342,2013
96,2013-03-19 00:00:00,0.38,0.38,0.33,0.33,4740,2013
97,2013-03-20 00:00:00,0.31,0.31,0.3,0.3,600,2013
98,2013-03-21 00:00:00,0.28,0.28,0.28,0.28,200,2013
99,2013-03-22 00:00:00,0.27,0.27,0.27,0.27,100,2013
100,2013-03-25 00:00:00,0.27,0.27,0.27,0.27,100,2013
101,2013-03-26 00:00:00,0.27,0.27,0.25,0.25,6528,2013
102,2013-04-02 00:00:00,0.25,0.25,0.2,0.2,4100,2013
103,2013-04-03 00:00:00,0.19,0.19,0.16,0.16,15900,2013
104,2013-04-04 00:00:00,0.17,0.22,0.15,0.22,22325,2013
105,2013-04-05 00:00:00,0.26,0.28,0.26,0.28,1000,2013
106,2013-04-08 00:00:00,0.3,0.3,0.3,0.3,100,2013
107,2013-04-09 00:00:00,0.26,0.26,0.24,0.24,1750,2013
108,2013-04-10 00:00:00,0.23,0.23,0.22,0.22,1500,2013
109,2013-04-11 00:00:00,0.21,0.21,0.2,0.2,4000,2013
110,2013-04-17 00:00:00,0.2,0.24,0.2,0.23,15961,2013
111,2013-04-19 00:00:00,0.23,0.23,0.23,0.23,1000,2013
112,2013-05-09 00:00:00,0.23,0.23,0.23,0.23,100,2013
113,2013-05-10 00:00:00,0.23,0.23,0.23,0.23,100,2013
114,2013-05-13 00:00:00,0.23,0.23,0.21,0.21,1075,2013
115,2013-05-14 00:00:00,0.23,0.23,0.23,0.23,200,2013
116,2013-05-15 00:00:00,0.23,0.23,0.23,0.23,100,2013
117,2013-05-16 00:00:00,0.23,0.23,0.23,0.23,100,2013
118,2013-05-17 00:00:00,0.23,0.23,0.23,0.23,185,2013
119,2013-05-20 00:00:00,0.21,0.21,0.21,0.21,96,2013
120,2013-05-24 00:00:00,0.2,0.2,0.2,0.2,100,2013
121,2013-05-28 00:00:00,0.2,0.2,0.19,0.19,1100,2013
122,2013-06-19 00:00:00,0.2,0.2,0.2,0.2,480,2013
123,2013-06-21 00:00:00,0.19,0.23,0.19,0.23,2502,2013
124,2013-06-24 00:00:00,0.2,0.2,0.2,0.2,600,2013
125,2013-06-28 00:00:00,0.21,0.21,0.21,0.21,600,2013
126,2013-07-17 00:00:00,0.21,0.21,0.21,0.21,500,2013
127,2013-07-18 00:00:00,0.21,0.21,0.21,0.21,100,2013
128,2013-07-19 00:00:00,0.21,0.21,0.21,0.21,150,2013
129,2013-07-22 00:00:00,0.21,0.21,0.21,0.21,100,2013
130,2013-07-23 00:00:00,0.21,0.21,0.21,0.21,200,2013
131,2013-07-24 00:00:00,0.21,0.21,0.21,0.21,200,2013
132,2013-07-25 00:00:00,0.21,0.21,0.21,0.21,500,2013
133,2013-07-26 00:00:00,0.2,0.2,0.2,0.2,200,2013
134,2013-07-29 00:00:00,0.2,0.2,0.2,0.2,235,2013
135,2013-07-30 00:00:00,0.2,0.2,0.2,0.2,200,2013
136,2013-07-31 00:00:00,0.21,0.21,0.21,0.21,200,2013
137,2013-08-01 00:00:00,0.21,0.21,0.21,0.21,200,2013
138,2013-08-02 00:00:00,0.21,0.21,0.21,0.21,200,2013
139,2013-08-05 00:00:00,0.21,0.21,0.21,0.21,200,2013
140,2013-08-06 00:00:00,0.21,0.21,0.21,0.21,50,2013
141,2013-08-07 00:00:00,0.21,0.21,0.21,0.21,50,2013
142,2013-08-08 00:00:00,0.21,0.21,0.17,0.17,32153,2013
143,2013-08-09 00:00:00,0.17,0.17,0.14,0.14,52300,2013
144,2013-08-12 00:00:00,0.14,0.14,0.13,0.13,15100,2013
145,2013-08-13 00:00:00,0.13,0.13,0.13,0.13,297,2013
146,2013-08-14 00:00:00,0.14,0.15,0.14,0.15,2500,2013
147,2013-08-16 00:00:00,0.16,0.16,0.15,0.15,800,2013
148,2013-08-19 00:00:00,0.16,0.16,0.16,0.16,150,2013
149,2013-08-20 00:00:00,0.16,0.16,0.16,0.16,100,2013
150,2013-08-22 00:00:00,0.16,0.16,0.16,0.16,150,2013
151,2013-08-23 00:00:00,0.16,0.16,0.16,0.16,150,2013
152,2013-08-26 00:00:00,0.16,0.16,0.16,0.16,100,2013
153,2013-08-27 00:00:00,0.16,0.16,0.16,0.16,150,2013
154,2013-08-28 00:00:00,0.17,0.17,0.17,0.17,100,2013
155,2013-08-29 00:00:00,0.17,0.17,0.17,0.17,100,2013
156,2013-09-02 00:00:00,0.17,0.17,0.17,0.17,100,2013
157,2013-09-03 00:00:00,0.17,0.17,0.17,0.17,100,2013
158,2013-09-04 00:00:00,0.17,0.17,0.17,0.17,150,2013
159,2013-09-05 00:00:00,0.17,0.17,0.17,0.17,100,2013
160,2013-09-06 00:00:00,0.17,0.17,0.17,0.17,50,2013
161,2013-09-09 00:00:00,0.17,0.17,0.17,0.17,100,2013
162,2013-09-11 00:00:00,0.17,0.17,0.17,0.17,100,2013
163,2013-09-12 00:00:00,0.15,0.15,0.13,0.13,1100,2013
164,2013-09-13 00:00:00,0.13,0.15,0.11,0.11,4651,2013
165,2013-09-16 00:00:00,0.12,0.12,0.12,0.12,294,2013
166,2013-09-18 00:00:00,0.12,0.12,0.11,0.11,14510,2013
167,2013-09-19 00:00:00,0.11,0.11,0.11,0.11,100,2013
168,2013-09-20 00:00:00,0.11,0.11,0.11,0.11,100,2013
169,2013-09-23 00:00:00,0.11,0.11,0.11,0.11,100,2013
170,2013-09-24 00:00:00,0.11,0.11,0.11,0.11,100,2013
171,2013-09-25 00:00:00,0.11,0.11,0.11,0.11,100,2013
172,2013-09-26 00:00:00,0.11,0.11,0.11,0.11,150,2013
173,2013-09-27 00:00:00,0.11,0.11,0.11,0.11,100,2013
174,2013-09-30 00:00:00,0.11,0.11,0.11,0.11,100,2013
175,2013-10-01 00:00:00,0.11,0.11,0.11,0.11,150,2013
176,2013-10-02 00:00:00,0.11,0.11,0.11,0.11,200,2013
177,2013-10-03 00:00:00,0.11,0.11,0.11,0.11,200,2013
178,2013-10-04 00:00:00,0.11,0.11,0.11,0.11,200,2013
179,2013-10-07 00:00:00,0.11,0.13,0.11,0.13,600,2013
180,2013-10-09 00:00:00,0.14,0.16,0.14,0.16,7819,2013
181,2013-10-10 00:00:00,0.17,0.17,0.17,0.17,100,2013
182,2013-10-11 00:00:00,0.17,0.17,0.17,0.17,100,2013
183,2013-10-14 00:00:00,0.17,0.17,0.17,0.17,100,2013
184,2013-10-15 00:00:00,0.17,0.17,0.15,0.15,890,2013
185,2013-10-16 00:00:00,0.15,0.15,0.14,0.14,377,2013
186,2013-10-17 00:00:00,0.14,0.14,0.13,0.13,20308,2013
187,2013-10-18 00:00:00,0.13,0.13,0.13,0.13,8319,2013
188,2013-11-08 00:00:00,0.14,0.14,0.12,0.12,3800,2013
189,2013-11-12 00:00:00,0.12,0.12,0.12,0.12,200,2013
190,2013-11-13 00:00:00,0.12,0.12,0.12,0.12,200,2013
191,2013-11-14 00:00:00,0.12,0.12,0.12,0.12,200,2013
192,2013-11-15 00:00:00,0.12,0.12,0.11,0.11,6492,2013
193,2013-11-20 00:00:00,0.11,0.11,0.11,0.11,1000,2013
194,2013-11-21 00:00:00,0.11,0.11,0.1,0.1,9666,2013
195,2013-11-25 00:00:00,0.11,0.13,0.11,0.13,4000,2013
196,2013-11-29 00:00:00,0.12,0.12,0.11,0.11,2500,2013
197,2013-12-02 00:00:00,0.1,0.1,0.08,0.08,13500,2013
198,2013-12-16 00:00:00,0.09,0.11,0.09,0.11,5000,2013
199,2013-12-17 00:00:00,0.11,0.14,0.11,0.14,4250,2013
200,2013-12-18 00:00:00,0.15,0.17,0.15,0.17,2600,2013
201,2013-12-19 00:00:00,0.17,0.17,0.17,0.17,3250,2013
202,2013-12-20 00:00:00,0.17,0.21,0.16,0.21,12627,2013
203,2013-12-23 00:00:00,0.21,0.25,0.21,0.25,7229,2013
204,2013-12-27 00:00:00,0.25,0.3,0.22,0.23,11899,2013
205,2013-12-30 00:00:00,0.23,0.23,0.19,0.19,400,2013
206,2014-01-02 00:00:00,0.2,0.2,0.2,0.2,100,2014
207,2014-01-03 00:00:00,0.21,0.21,0.18,0.18,400,2014
208,2014-01-07 00:00:00,0.18,0.18,0.18,0.18,100,2014
209,2014-01-09 00:00:00,0.17,0.17,0.14,0.14,7033,2014
210,2014-01-10 00:00:00,0.12,0.13,0.11,0.13,17064,2014
211,2014-01-13 00:00:00,0.13,0.13,0.13,0.13,100,2014
212,2014-01-14 00:00:00,0.13,0.13,0.13,0.13,300,2014
213,2014-01-15 00:00:00,0.12,0.12,0.11,0.11,329,2014
214,2014-01-17 00:00:00,0.13,0.13,0.13,0.13,200,2014
215,2014-01-20 00:00:00,0.13,0.13,0.13,0.13,100,2014
216,2014-01-21 00:00:00,0.13,0.13,0.13,0.13,100,2014
217,2014-01-22 00:00:00,0.11,0.11,0.1,0.1,3675,2014
218,2014-01-23 00:00:00,0.1,0.1,0.1,0.1,1001,2014
219,2014-01-24 00:00:00,0.1,0.11,0.1,0.1,2801,2014
220,2014-01-27 00:00:00,0.11,0.13,0.11,0.13,9851,2014
221,2014-01-28 00:00:00,0.13,0.14,0.13,0.14,365,2014
222,2014-01-29 00:00:00,0.12,0.12,0.12,0.12,500,2014
223,2014-01-30 00:00:00,0.11,0.11,0.1,0.1,6850,2014
224,2014-02-04 00:00:00,0.1,0.1,0.1,0.1,500,2014
225,2014-02-06 00:00:00,0.1,0.1,0.1,0.1,1000,2014
226,2014-02-07 00:00:00,0.1,0.1,0.1,0.1,1000,2014
227,2014-02-10 00:00:00,0.1,0.1,0.1,0.1,500,2014
228,2014-02-11 00:00:00,0.1,0.1,0.1,0.1,500,2014
229,2014-02-12 00:00:00,0.1,0.1,0.1,0.1,200,2014
230,2014-02-13 00:00:00,0.1,0.1,0.1,0.1,500,2014
231,2014-02-14 00:00:00,0.1,0.1,0.1,0.1,500,2014
232,2014-02-17 00:00:00,0.1,0.11,0.1,0.11,1500,2014
233,2014-02-18 00:00:00,0.11,0.11,0.11,0.11,600,2014
234,2014-02-19 00:00:00,0.11,0.11,0.11,0.11,600,2014
235,2014-02-20 00:00:00,0.11,0.11,0.11,0.11,600,2014
236,2014-02-21 00:00:00,0.11,0.11,0.11,0.11,600,2014
237,2014-03-07 00:00:00,0.12,0.12,0.12,0.12,3829,2014
238,2014-03-11 00:00:00,0.12,0.16,0.12,0.16,7326,2014
239,2014-03-12 00:00:00,0.16,0.16,0.13,0.13,1100,2014
240,2014-03-13 00:00:00,0.15,0.16,0.15,0.16,4171,2014
241,2014-03-14 00:00:00,0.16,0.16,0.16,0.16,2341,2014
242,2014-03-24 00:00:00,0.16,0.16,0.14,0.14,62777,2014
243,2014-03-25 00:00:00,0.14,0.15,0.14,0.15,4223,2014
244,2014-03-28 00:00:00,0.14,0.16,0.14,0.16,2015,2014
245,2014-03-31 00:00:00,0.14,0.16,0.13,0.13,256658,2014
246,2014-04-01 00:00:00,0.13,0.15,0.13,0.15,4763,2014
247,2014-04-02 00:00:00,0.16,0.16,0.15,0.16,52950,2014
248,2014-04-03 00:00:00,0.16,0.16,0.16,0.16,5000,2014
249,2014-04-04 00:00:00,0.15,0.15,0.14,0.14,21000,2014
250,2014-04-07 00:00:00,0.14,0.14,0.14,0.14,1000,2014
251,2014-04-08 00:00:00,0.14,0.16,0.14,0.16,4101,2014
252,2014-04-09 00:00:00,0.15,0.15,0.15,0.15,300,2014
253,2014-04-11 00:00:00,0.17,0.2,0.17,0.2,12334,2014
254,2014-04-14 00:00:00,0.17,0.18,0.17,0.18,101,2014
255,2014-04-15 00:00:00,0.19,0.19,0.19,0.19,59,2014
256,2014-04-16 00:00:00,0.18,0.18,0.17,0.17,1500,2014
257,2014-04-17 00:00:00,0.17,0.17,0.17,0.17,500,2014
258,2014-04-22 00:00:00,0.17,0.2,0.17,0.19,24307,2014
259,2014-04-23 00:00:00,0.16,0.19,0.15,0.19,1730,2014
260,2014-04-24 00:00:00,0.16,0.19,0.15,0.17,43608,2014
261,2014-04-25 00:00:00,0.2,0.2,0.16,0.17,5600,2014
262,2014-04-29 00:00:00,0.16,0.16,0.16,0.16,5050,2014
263,2014-04-30 00:00:00,0.16,0.18,0.16,0.18,1300,2014
264,2014-05-02 00:00:00,0.16,0.16,0.16,0.16,250,2014
265,2014-05-05 00:00:00,0.16,0.16,0.16,0.16,250,2014
266,2014-05-06 00:00:00,0.18,0.2,0.18,0.2,750,2014
267,2014-05-07 00:00:00,0.21,0.27,0.21,0.27,15300,2014
268,2014-05-08 00:00:00,0.3,0.36,0.3,0.36,17584,2014
269,2014-05-09 00:00:00,0.32,0.38,0.29,0.3,24690,2014
270,2014-05-12 00:00:00,0.35,0.42,0.28,0.28,100729,2014
271,2014-05-13 00:00:00,0.31,0.31,0.26,0.27,978,2014
272,2014-05-14 00:00:00,0.26,0.26,0.22,0.22,611,2014
273,2014-05-15 00:00:00,0.24,0.25,0.2,0.25,9823,2014
274,2014-05-16 00:00:00,0.24,0.29,0.24,0.25,7260,2014
275,2014-05-19 00:00:00,0.29,0.29,0.25,0.25,2239,2014
276,2014-05-20 00:00:00,0.24,0.27,0.21,0.27,1182,2014
277,2014-05-21 00:00:00,0.24,0.24,0.22,0.22,1111,2014
278,2014-05-22 00:00:00,0.22,0.25,0.22,0.25,1833,2014
279,2014-05-26 00:00:00,0.24,0.27,0.24,0.27,4662,2014
280,2014-05-29 00:00:00,0.28,0.28,0.22,0.22,63777,2014
281,2014-05-30 00:00:00,0.25,0.25,0.22,0.22,110,2014
282,2014-06-02 00:00:00,0.22,0.22,0.22,0.22,400,2014
283,2014-06-03 00:00:00,0.23,0.23,0.22,0.22,1100,2014
284,2014-06-04 00:00:00,0.22,0.25,0.22,0.22,9101,2014
285,2014-06-05 00:00:00,0.22,0.22,0.22,0.22,200,2014
286,2014-06-09 00:00:00,0.22,0.26,0.22,0.26,701,2014
287,2014-06-10 00:00:00,0.26,0.31,0.26,0.29,127322,2014
288,2014-06-11 00:00:00,0.31,0.31,0.29,0.29,3242,2014
289,2014-06-12 00:00:00,0.33,0.36,0.33,0.36,1001,2014
290,2014-06-13 00:00:00,0.36,0.42,0.29,0.32,22920,2014
291,2014-06-16 00:00:00,0.27,0.32,0.22,0.25,47518,2014
292,2014-06-17 00:00:00,0.28,0.31,0.26,0.26,5609,2014
293,2014-06-18 00:00:00,0.27,0.27,0.27,0.27,5,2014
294,2014-06-20 00:00:00,0.27,0.31,0.27,0.28,1165,2014
295,2014-06-23 00:00:00,0.31,0.31,0.31,0.31,2,2014
296,2014-06-24 00:00:00,0.3,0.3,0.28,0.28,1500,2014
297,2014-06-26 00:00:00,0.28,0.28,0.23,0.23,24753,2014
298,2014-06-27 00:00:00,0.25,0.26,0.23,0.23,3165,2014
299,2014-07-01 00:00:00,0.23,0.23,0.23,0.23,1000,2014
300,2014-07-02 00:00:00,0.23,0.23,0.21,0.21,5903,2014
301,2014-07-03 00:00:00,0.19,0.19,0.18,0.18,600,2014
302,2014-07-04 00:00:00,0.18,0.18,0.16,0.18,8720,2014
303,2014-07-07 00:00:00,0.16,0.16,0.16,0.16,1000,2014
304,2014-07-09 00:00:00,0.17,0.17,0.16,0.16,1500,2014
305,2014-07-10 00:00:00,0.17,0.17,0.16,0.16,2500,2014
306,2014-07-11 00:00:00,0.16,0.17,0.16,0.17,6033,2014
307,2014-07-14 00:00:00,0.16,0.16,0.16,0.16,500,2014
308,2014-07-15 00:00:00,0.16,0.16,0.16,0.16,500,2014
309,2014-07-23 00:00:00,0.18,0.18,0.18,0.18,990,2014
310,2014-07-28 00:00:00,0.18,0.18,0.16,0.16,3470,2014
311,2014-08-07 00:00:00,0.18,0.18,0.18,0.18,1000,2014
312,2014-08-11 00:00:00,0.19,0.2,0.19,0.2,2000,2014
313,2014-08-12 00:00:00,0.21,0.25,0.21,0.25,2300,2014
314,2014-08-13 00:00:00,0.24,0.28,0.24,0.28,5000,2014
315,2014-08-14 00:00:00,0.27,0.27,0.22,0.22,250,2014
316,2014-08-18 00:00:00,0.21,0.21,0.18,0.18,4900,2014
317,2014-08-20 00:00:00,0.19,0.19,0.18,0.18,1000,2014
318,2014-08-21 00:00:00,0.2,0.2,0.2,0.2,100,2014
319,2014-09-01 00:00:00,0.2,0.2,0.17,0.17,11400,2014
320,2014-09-03 00:00:00,0.18,0.2,0.16,0.2,36500,2014
321,2014-09-04 00:00:00,0.18,0.18,0.18,0.18,100,2014
322,2014-09-05 00:00:00,0.18,0.18,0.18,0.18,21650,2014
323,2014-09-08 00:00:00,0.18,0.18,0.18,0.18,200,2014
324,2014-09-09 00:00:00,0.18,0.18,0.18,0.18,100,2014
325,2014-09-10 00:00:00,0.18,0.18,0.18,0.18,100,2014
326,2014-09-11 00:00:00,0.16,0.16,0.16,0.16,1000,2014
327,2014-09-12 00:00:00,0.18,0.18,0.18,0.18,250,2014
328,2014-09-15 00:00:00,0.16,0.16,0.16,0.16,1000,2014
329,2014-09-16 00:00:00,0.16,0.19,0.16,0.19,71600,2014
330,2014-09-17 00:00:00,0.19,0.25,0.19,0.24,11001,2014
331,2014-09-18 00:00:00,0.24,0.24,0.24,0.24,500,2014
332,2014-09-23 00:00:00,0.22,0.22,0.18,0.18,6000,2014
333,2014-10-01 00:00:00,0.17,0.17,0.16,0.16,8300,2014
334,2014-10-02 00:00:00,0.16,0.18,0.16,0.18,885,2014
335,2014-10-03 00:00:00,0.17,0.2,0.17,0.2,601,2014
336,2014-10-08 00:00:00,0.2,0.2,0.2,0.2,100,2014
337,2014-10-09 00:00:00,0.2,0.2,0.2,0.2,100,2014
338,2014-10-10 00:00:00,0.2,0.2,0.18,0.18,260,2014
339,2014-10-14 00:00:00,0.18,0.18,0.18,0.18,267,2014
340,2014-10-15 00:00:00,0.19,0.2,0.19,0.2,400,2014
341,2014-10-16 00:00:00,0.2,0.2,0.2,0.2,50,2014
342,2014-10-17 00:00:00,0.18,0.18,0.17,0.17,14400,2014
343,2014-10-20 00:00:00,0.17,0.17,0.17,0.17,250,2014
344,2014-10-22 00:00:00,0.17,0.17,0.17,0.17,500,2014
345,2014-10-23 00:00:00,0.17,0.17,0.17,0.17,500,2014
346,2014-10-24 00:00:00,0.17,0.17,0.17,0.17,250,2014
347,2014-10-27 00:00:00,0.17,0.17,0.17,0.17,5000,2014
348,2014-10-28 00:00:00,0.17,0.17,0.17,0.17,1000,2014
349,2014-10-29 00:00:00,0.17,0.17,0.17,0.17,20,2014
350,2014-10-30 00:00:00,0.17,0.17,0.17,0.17,1000,2014
351,2014-10-31 00:00:00,0.17,0.17,0.16,0.16,12807,2014
352,2014-11-04 00:00:00,0.18,0.18,0.18,0.18,200,2014
353,2014-11-18 00:00:00,0.18,0.18,0.18,0.18,23800,2014
354,2014-11-19 00:00:00,0.17,0.17,0.16,0.16,5776,2014
355,2014-11-20 00:00:00,0.16,0.16,0.16,0.16,250,2014
356,2014-11-27 00:00:00,0.16,0.16,0.16,0.16,200,2014
357,2014-12-02 00:00:00,0.16,0.16,0.16,0.16,100,2014
358,2014-12-05 00:00:00,0.16,0.16,0.16,0.16,500,2014
359,2014-12-17 00:00:00,0.17,0.17,0.16,0.16,20000,2014
360,2014-12-18 00:00:00,0.16,0.16,0.16,0.16,100,2014
361,2014-12-19 00:00:00,0.16,0.16,0.16,0.16,100,2014
362,2014-12-22 00:00:00,0.16,0.16,0.16,0.16,200,2014
363,2014-12-23 00:00:00,0.16,0.16,0.16,0.16,100,2014
364,2014-12-30 00:00:00,0.16,0.16,0.16,0.16,4000,2014
365,2015-01-08 00:00:00,0.15,0.15,0.15,0.15,171900,2015
366,2015-02-02 00:00:00,0.16,0.16,0.16,0.16,500,2015
367,2015-02-03 00:00:00,0.17,0.17,0.17,0.17,300,2015
368,2015-02-05 00:00:00,0.18,0.19,0.15,0.15,44865,2015
369,2015-02-09 00:00:00,0.16,0.16,0.15,0.15,600,2015
370,2015-02-17 00:00:00,0.15,0.15,0.15,0.15,100,2015
371,2015-02-23 00:00:00,0.16,0.16,0.15,0.15,3500,2015
372,2015-02-26 00:00:00,0.15,0.15,0.15,0.15,500,2015
